Function F9 - HCLPSO-DC (D=50)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               1.258903e+02         1025.890253         301760         0.4460         Yes
2                 4.1601e+01            941.6010         268560         0.3920         Yes
3                 5.2805e+02           1428.0532         500000         0.7310          No
4                 1.1800e+02           1017.9960         299920         0.4340         Yes
5                 5.7186e+02           1471.8602         500000         0.7290          No
6                 3.3101e+02           1231.0123         500000         0.7260          No
7                 4.8355e+01            948.3546         246640         0.3570         Yes
8                 5.0078e+02           1400.7799         500000         0.7290          No
9                 6.4014e+02           1540.1442         500000         0.7340          No
10                3.8614e+03           4761.3908         500000         0.7380          No
11                1.9336e+03           2833.5512         500000         0.7470          No
12                7.1543e+02           1615.4346         500000         0.7280          No
13                5.3599e+02           1435.9949         500000         0.7320          No
14                1.2996e+03           2199.6283         500000         0.7340          No
15                9.2600e+02           1826.0039         500000         0.7320          No
16                1.9482e+02           1094.8234         302640         0.4390         Yes
17                1.1490e+03           2048.9827         500000         0.7390          No
18                4.2907e+02           1329.0686         500000         0.7300          No
19                8.0867e+02           1708.6674         500000         0.7290          No
20                2.4397e+02           1143.9717         313560         0.4550         Yes
21                2.9649e+02           1196.4923         500000         0.7280          No
22                4.0222e+02           1302.2164         500000         0.7290          No
23                1.6425e+03           2542.4529         500000         0.7380          No
24                1.1660e+02           1016.5965         287800         0.4170         Yes
25                6.9152e+02           1591.5229         500000         0.7310          No
26                1.8253e+02           1082.5321         302840         0.4390         Yes
27                1.2714e+01            912.7143         228200         0.3320         Yes
28                8.1121e+01            981.1208         260640         0.3780         Yes
29                4.0454e+02           1304.5422         500000         0.7330          No
30                1.2570e+03           2156.9502         500000         0.7320          No
31                5.0389e+02           1403.8912         500000         0.7300          No
32                7.5362e+02           1653.6243         500000         0.7460          No
33                1.5033e+02           1050.3279         300640         0.4350         Yes
34                1.8881e+02           1088.8102         303800         0.4400         Yes
35                2.1275e+04          22174.8240         500000         0.7470          No
36                2.6691e+03           3569.1008         500000         0.7480          No
37                9.5991e+00            909.5991         216360         0.3150         Yes
38                4.8469e+02           1384.6850         500000         0.7370          No
39                8.0380e+02           1703.8049         500000         0.7330          No
40                5.7899e+02           1478.9861         500000         0.7300          No
41                5.8442e+02           1484.4232         500000         0.7310          No
42                3.6803e+02           1268.0257         500000         0.7300          No
43                5.5300e+02           1452.9972         500000         0.7380          No
44                2.6356e+03           3535.6143         500000         0.7460          No
45                2.7959e+02           1179.5887         500000         0.7410          No
46                3.5905e+01            935.9052         263800         0.3820         Yes
47                1.0745e+02           1007.4470         277280         0.4020         Yes
48                5.6890e+02           1468.8984         500000         0.7460          No
49                5.5361e+02           1453.6058         500000         0.7280          No
50                3.4037e+02           1240.3683         500000         0.7300          No
51                3.5184e+02           1251.8442         500000         0.7270          No
----------------------------------------------------------------------------------------------------
