Function F21 - HCLPSO-OC (D=50)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               3.621689e+02         2462.168854         136080         0.4890         Yes
2                 5.9715e+02           2697.1478         376880         1.3570         Yes
3                 5.3301e+02           2633.0099         148400         0.5210         Yes
4                 4.5816e+02           2558.1615         139800         0.5070         Yes
5                 4.9215e+02           2592.1523         132000         0.4860         Yes
6                 5.1178e+02           2611.7759         120000         0.4410         Yes
7                 5.8881e+02           2688.8106         218640         0.7880         Yes
8                 5.0033e+02           2600.3257         132040         0.4700         Yes
9                 4.1219e+02           2512.1884         204720         0.7780         Yes
10                5.3665e+02           2636.6520         257560         0.9130         Yes
11                4.8216e+02           2582.1557         295880         1.0420         Yes
12                5.4047e+02           2640.4732         104640         0.3800         Yes
13                5.7130e+02           2671.2963         257600         0.8990         Yes
14                5.9249e+02           2692.4925         277920         0.9860         Yes
15                5.2956e+02           2629.5644         181680         0.6580         Yes
16                4.6559e+02           2565.5860         124840         0.4520         Yes
17                6.7204e+02           2772.0415         500000         1.8250          No
18                5.7270e+02           2672.7035         121480         0.4290         Yes
19                4.8336e+02           2583.3612         138080         0.4890         Yes
20                5.0868e+02           2608.6768         138240         0.4820         Yes
21                5.5484e+02           2654.8385         252120         0.9280         Yes
22                4.7718e+02           2577.1815         188560         0.6590         Yes
23                5.9084e+02           2690.8404         167680         0.5970         Yes
24                5.2383e+02           2623.8299         228640         0.8490         Yes
25                4.9450e+02           2594.4965         312600         1.1290         Yes
26                4.8918e+02           2589.1831         152520         0.5310         Yes
27                5.1993e+02           2619.9341         380120         1.3340         Yes
28                5.4317e+02           2643.1661         131600         0.4440         Yes
29                4.7757e+02           2577.5706         189920         0.6740         Yes
30                5.4261e+02           2642.6146         179800         0.6340         Yes
31                5.4738e+02           2647.3840         311640         1.0980         Yes
32                5.1215e+02           2612.1536         228560         0.8310         Yes
33                4.2908e+02           2529.0785         134880         0.4660         Yes
34                4.6360e+02           2563.6005         147240         0.5210         Yes
35                5.0714e+02           2607.1425         164880         0.6160         Yes
36                5.9326e+02           2693.2612         219480         0.7800         Yes
37                4.6749e+02           2567.4881         118320         0.4290         Yes
38                5.0242e+02           2602.4228         140760         0.5070         Yes
39                4.5593e+02           2555.9314         153000         0.5440         Yes
40                4.9359e+02           2593.5907         210320         0.7600         Yes
41                6.7405e+02           2774.0549         500000         1.7880          No
42                5.3274e+02           2632.7448         286920         1.0350         Yes
43                4.4318e+02           2543.1826          82040         0.2930         Yes
44                5.1848e+02           2618.4843         228360         0.7970         Yes
45                5.1184e+02           2611.8411         151240         0.5550         Yes
46                5.5650e+02           2656.4977         296600         1.0250         Yes
47                5.4980e+02           2649.8020         125120         0.4250         Yes
48                4.8263e+02           2582.6330         130120         0.4590         Yes
49                4.8684e+02           2586.8365         209680         0.7610         Yes
50                5.4307e+02           2643.0664         183120         0.6570         Yes
51                5.1052e+02           2610.5181         168200         0.6100         Yes
----------------------------------------------------------------------------------------------------
