
============================================================================================================================================
TABLE: CONVERGENCE SPEED - HCLPSO-OC (D=50)
Population: N=40 | Runs: 51 | MaxFE: 500000 | εtol: 30.00%
============================================================================================================================================
Function             Mean CFEs          Std CFEs      Success Rate      Mean CTs (s)       Std CTs (s)
--------------------------------------------------------------------------------------------------------------------------------------------
F1                      500000                 0               0.0%            0.5879            0.0154
F3                      500000                 0               0.0%            0.6086            0.0144
F4                      500000                 0               0.0%            0.6519            0.0164
F5                      500000                 0               0.0%            0.7942            0.0177
F6                          80                 0             100.0%            0.0000            0.0001
F7                      412685            109994              43.1%            0.6623            0.1812
F8                      456513             90452              19.6%            0.7234            0.1487
F9                      441645             95718              27.5%            0.7071            0.1574
F10                     500000                 0               0.0%            1.1688            0.0484
F11                     374342            123902              52.9%            0.5090            0.1739
F12                     500000                 0               0.0%            0.7411            0.0173
F13                     500000                 0               0.0%            0.6933            0.0169
F14                     500000                 0               0.0%            0.8286            0.0194
F15                     500000                 0               0.0%            0.6467            0.0162
F16                     500000                 0               0.0%            0.8016            0.0227
F17                     500000                 0               0.0%            1.1995            0.0251
F18                     500000                 0               0.0%            0.6967            0.0191
F19                     500000                 0               0.0%            4.8511            0.0518
F20                     497389             18462               2.0%            1.2247            0.0512
F21                     203540             91327              96.1%            0.7280            0.3283
F22                     500000                 0               0.0%            2.6713            0.0404
F23                     490436             48714               3.9%            2.8589            0.2733
F24                     495214             33841               2.0%            2.7915            0.1930
F25                     147020             94688              94.1%            0.8555            0.5398
F26                     500000                 0               0.0%            3.7010            0.0523
F27                     429145            164182              17.6%            3.1191            1.1838
F28                     468816            106927               7.8%            3.2500            0.7270
F29                     500000                 0               0.0%            2.3586            0.0630
F30                     500000                 0               0.0%            5.7641            0.1515
--------------------------------------------------------------------------------------------------------------------------------------------
============================================================================================================================================
