Function F12 - HCLPSO-OC (D=50)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               2.758051e+08    275806325.616464         500000         0.7430          No
2                 5.3606e+06        5361789.8172         500000         0.7860          No
3                 2.8556e+08      285560266.7601         500000         0.7790          No
4                 7.4933e+07       74933867.1055         500000         0.7350          No
5                 2.5364e+07       25365647.5387         500000         0.7210          No
6                 2.3809e+08      238094815.6171         500000         0.7470          No
7                 8.8788e+08      887882597.4966         500000         0.7390          No
8                 4.5609e+06        4562103.0986         500000         0.7350          No
9                 9.5802e+08      958021379.6385         500000         0.7590          No
10                5.6442e+06        5645402.8661         500000         0.7260          No
11                1.6170e+07       16171124.8699         500000         0.7320          No
12                7.2707e+06        7271872.6717         500000         0.7330          No
13                1.1863e+08      118632323.6230         500000         0.7340          No
14                2.0379e+07       20380333.5384         500000         0.7350          No
15                8.7506e+06        8751815.6598         500000         0.7380          No
16                4.3129e+07       43130419.8763         500000         0.7040          No
17                3.4532e+07       34533677.8290         500000         0.7190          No
18                8.3108e+07       83109155.5329         500000         0.7600          No
19                5.3699e+06        5371073.9882         500000         0.7570          No
20                2.3470e+08      234704045.9432         500000         0.7440          No
21                1.4332e+08      143319475.0403         500000         0.7240          No
22                4.0395e+07       40396124.6603         500000         0.7420          No
23                4.0105e+06        4011692.0958         500000         0.7140          No
24                4.4960e+09     4496022642.0679         500000         0.7500          No
25                2.0478e+09     2047837489.6819         500000         0.7640          No
26                6.6847e+06        6685881.7985         500000         0.7560          No
27                1.5833e+08      158330724.1523         500000         0.7000          No
28                1.8044e+08      180445005.7517         500000         0.7290          No
29                6.6936e+07       66937132.5080         500000         0.7150          No
30                5.1874e+07       51875251.8782         500000         0.7660          No
31                2.4728e+07       24728739.7358         500000         0.7490          No
32                3.6919e+07       36919732.4066         500000         0.7430          No
33                3.2327e+06        3233916.4632         500000         0.7390          No
34                2.8225e+08      282255171.4661         500000         0.7450          No
35                6.3032e+09     6303225529.6701         500000         0.7490          No
36                1.8164e+08      181639591.9385         500000         0.7280          No
37                2.0032e+09     2003208293.8190         500000         0.7720          No
38                3.3182e+08      331819892.4869         500000         0.7260          No
39                4.2056e+09     4205614872.0294         500000         0.7510          No
40                9.0218e+08      902179593.1659         500000         0.7550          No
41                2.7441e+06        2745327.5525         500000         0.7580          No
42                8.8570e+06        8858242.7926         500000         0.7390          No
43                3.8915e+07       38916285.8790         500000         0.7240          No
44                6.1093e+07       61093910.1258         500000         0.7500          No
45                1.8717e+07       18718383.5305         500000         0.7550          No
46                2.7476e+07       27477312.9154         500000         0.7280          No
47                9.6440e+08      964397144.1082         500000         0.7470          No
48                1.3377e+07       13378094.5119         500000         0.7370          No
49                1.7378e+08      173780828.5783         500000         0.7450          No
50                9.4264e+08      942646157.5708         500000         0.7380          No
51                1.2132e+08      121322633.2142         500000         0.7310          No
----------------------------------------------------------------------------------------------------
