Function F21 - HCLPSO-OC (D=100)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               9.451461e+02         3045.146137        1000000        15.1960          No
2                 1.0758e+03           3175.7824        1000000        14.9660          No
3                 1.5063e+03           3606.3252        1000000        15.0350          No
4                 8.2515e+02           2925.1536         766440        11.5830         Yes
5                 1.0449e+03           3144.8780        1000000        14.8860          No
6                 1.1467e+03           3246.7281        1000000        14.9550          No
7                 8.4836e+02           2948.3588        1000000        14.9870          No
8                 1.2288e+03           3328.8437        1000000        15.1520          No
9                 1.2252e+03           3325.2379        1000000        15.0160          No
10                1.1734e+03           3273.3970        1000000        15.0260          No
11                1.0355e+03           3135.5124        1000000        15.0780          No
12                9.8194e+02           3081.9414        1000000        14.9680          No
13                1.3997e+03           3499.7327        1000000        14.9710          No
14                1.0730e+03           3172.9556        1000000        14.9890          No
15                1.1943e+03           3294.3011        1000000        15.0250          No
16                1.1507e+03           3250.6908        1000000        14.8980          No
17                1.5047e+03           3604.7077        1000000        14.9740          No
18                8.8967e+02           2989.6694        1000000        14.9400          No
19                1.0505e+03           3150.5256        1000000        14.9140          No
20                1.1419e+03           3241.8934        1000000        14.9640          No
21                1.2254e+03           3325.3878        1000000        14.9150          No
22                9.7225e+02           3072.2455        1000000        14.9570          No
23                1.1714e+03           3271.4478        1000000        14.9360          No
24                1.0519e+03           3151.9133        1000000        14.9430          No
25                1.2702e+03           3370.2128        1000000        15.0160          No
26                1.7768e+03           3876.7617        1000000        14.9700          No
27                1.1842e+03           3284.1982        1000000        15.0170          No
28                1.0822e+03           3182.1913        1000000        14.9700          No
29                1.0906e+03           3190.5589        1000000        14.9310          No
30                8.0045e+02           2900.4506         617040         9.2160         Yes
31                1.2552e+03           3355.1655        1000000        14.9550          No
32                1.1749e+03           3274.8584        1000000        14.9860          No
33                1.0590e+03           3158.9614        1000000        14.9820          No
34                9.7944e+02           3079.4397        1000000        15.0090          No
35                1.2494e+03           3349.4374        1000000        14.9290          No
36                1.1033e+03           3203.3001        1000000        14.8900          No
37                1.2114e+03           3311.4146        1000000        15.0340          No
38                1.2196e+03           3319.5542        1000000        14.8960          No
39                1.0006e+03           3100.5804        1000000        14.8340          No
40                9.4072e+02           3040.7174        1000000        14.8810          No
41                1.4095e+03           3509.5411        1000000        15.0500          No
42                9.0166e+02           3001.6597        1000000        14.9480          No
43                1.1549e+03           3254.8724        1000000        14.9080          No
44                1.1181e+03           3218.1140        1000000        14.8880          No
45                1.6415e+03           3741.5252        1000000        14.9660          No
46                1.0572e+03           3157.2270        1000000        14.9740          No
47                1.4042e+03           3504.2148        1000000        15.0600          No
48                1.3558e+03           3455.8056        1000000        14.9810          No
49                1.0641e+03           3164.1119        1000000        14.8730          No
50                1.0921e+03           3192.1432        1000000        14.9680          No
51                1.0317e+03           3131.6567        1000000        15.0410          No
----------------------------------------------------------------------------------------------------
