Function F5 - HCLPSO-OC (D=100)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               8.679470e+02         1367.947026        1000000         5.7860          No
2                 7.7620e+02           1276.1963        1000000         5.7060          No
3                 7.6896e+02           1268.9597        1000000         5.6330          No
4                 8.7829e+02           1378.2898        1000000         5.7000          No
5                 7.2850e+02           1228.5013        1000000         5.7270          No
6                 8.8532e+02           1385.3155        1000000         5.7650          No
7                 7.2589e+02           1225.8866        1000000         5.7180          No
8                 9.5629e+02           1456.2854        1000000         5.7660          No
9                 1.1489e+03           1648.9038        1000000         5.7350          No
10                1.0068e+03           1506.8398        1000000         5.7520          No
11                8.5134e+02           1351.3357        1000000         5.7200          No
12                7.5843e+02           1258.4276        1000000         5.7430          No
13                7.7399e+02           1273.9931        1000000         5.7700          No
14                7.8597e+02           1285.9709        1000000         5.7630          No
15                7.3777e+02           1237.7658        1000000         5.6850          No
16                5.9343e+02           1093.4301        1000000         5.6350          No
17                7.0482e+02           1204.8237        1000000         5.6660          No
18                7.5340e+02           1253.3951        1000000         5.6480          No
19                8.2781e+02           1327.8150        1000000         5.7510          No
20                6.0590e+02           1105.9041        1000000         5.6920          No
21                1.0437e+03           1543.6515        1000000         5.7510          No
22                6.9030e+02           1190.2991        1000000         5.7480          No
23                7.4122e+02           1241.2217        1000000         5.7780          No
24                7.7450e+02           1274.5040        1000000         5.6720          No
25                6.4879e+02           1148.7851        1000000         5.7090          No
26                6.2464e+02           1124.6395        1000000         5.6590          No
27                6.1144e+02           1111.4449        1000000         5.6780          No
28                8.1833e+02           1318.3290        1000000         5.7170          No
29                5.4787e+02           1047.8680        1000000         5.7000          No
30                7.6624e+02           1266.2445        1000000         5.7530          No
31                1.0273e+03           1527.2553        1000000         5.7800          No
32                1.0376e+03           1537.6238        1000000         5.7870          No
33                6.3686e+02           1136.8638        1000000         5.6250          No
34                6.9021e+02           1190.2087        1000000         5.7050          No
35                1.1612e+03           1661.1898        1000000         5.7500          No
36                6.6390e+02           1163.8962        1000000         5.6950          No
37                6.6460e+02           1164.5951        1000000         5.6360          No
38                1.1350e+03           1635.0070        1000000         5.7710          No
39                1.0737e+03           1573.7249        1000000         5.7460          No
40                8.0659e+02           1306.5929        1000000         5.7630          No
41                8.1690e+02           1316.8969        1000000         5.7680          No
42                8.2816e+02           1328.1592        1000000         5.7310          No
43                7.6574e+02           1265.7390        1000000         5.6590          No
44                9.1360e+02           1413.5970        1000000         5.7510          No
45                8.7425e+02           1374.2472        1000000         5.7780          No
46                8.5940e+02           1359.4034        1000000         5.6420          No
47                1.1382e+03           1638.2337        1000000         5.7220          No
48                6.4259e+02           1142.5907        1000000         5.6280          No
49                1.0966e+03           1596.6121        1000000         5.7780          No
50                6.5303e+02           1153.0329        1000000         5.6690          No
51                1.0422e+03           1542.1959        1000000         5.7400          No
----------------------------------------------------------------------------------------------------
