Function F15 - HCLPSO-OC (D=100)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               1.624454e+04        17744.536846        1000000         5.1580          No
2                 6.4702e+04          66201.6870        1000000         5.1130          No
3                 9.6027e+03          11102.6853        1000000         5.1040          No
4                 1.9580e+05         197304.6805        1000000         5.1460          No
5                 1.3108e+04          14607.7623        1000000         5.1420          No
6                 3.0942e+04          32442.0797        1000000         5.1060          No
7                 1.5221e+05         153705.7842        1000000         5.0910          No
8                 2.4638e+04          26138.3626        1000000         5.1180          No
9                 3.5604e+04          37103.8353        1000000         5.0680          No
10                8.9707e+06        8972246.2635        1000000         5.1280          No
11                8.9710e+06        8972527.1563        1000000         5.0610          No
12                7.4535e+04          76034.6909        1000000         5.0890          No
13                2.4970e+04          26470.1991        1000000         5.0630          No
14                1.9125e+04          20624.8343        1000000         5.0960          No
15                4.5650e+04          47149.9311        1000000         5.1520          No
16                2.3320e+04          24819.5072        1000000         5.0930          No
17                3.9588e+04          41088.1232        1000000         5.0800          No
18                7.1944e+08      719439462.3929        1000000         5.0650          No
19                3.3681e+04          35180.6727        1000000         5.0970          No
20                1.1370e+05         115203.1815        1000000         5.0870          No
21                3.1875e+04          33374.9321        1000000         5.1300          No
22                2.0139e+04          21638.7682        1000000         5.0940          No
23                1.7031e+04          18530.6613        1000000         5.0670          No
24                1.4800e+08      148000865.6168        1000000         5.0820          No
25                2.0600e+04          22100.4814        1000000         5.1360          No
26                5.9240e+08      592397317.0442        1000000         5.0550          No
27                9.5288e+04          96788.3439        1000000         5.0630          No
28                5.8618e+04          60117.7698        1000000         5.0760          No
29                4.6579e+04          48078.7962        1000000         5.0640          No
30                2.1451e+05         216006.9527        1000000         5.0420          No
31                1.2142e+05         122915.2892        1000000         5.1130          No
32                1.2909e+05         130585.0214        1000000         5.0690          No
33                8.1906e+08      819060472.8576        1000000         5.1250          No
34                1.2803e+04          14303.3415        1000000         5.0790          No
35                1.0725e+04          12224.6853        1000000         5.0730          No
36                1.4029e+04          15528.9432        1000000         5.0970          No
37                2.9178e+04          30677.5716        1000000         5.1120          No
38                1.1097e+04          12597.3244        1000000         5.1190          No
39                1.4263e+05         144131.6941        1000000         5.0670          No
40                3.4590e+04          36089.7573        1000000         5.0740          No
41                1.2911e+04          14411.4774        1000000         5.1140          No
42                1.1335e+09     1133488460.3790        1000000         5.0980          No
43                1.1582e+05         117320.0511        1000000         5.0840          No
44                8.4952e+04          86452.1142        1000000         5.0700          No
45                1.1379e+05         115287.5600        1000000         5.1110          No
46                3.4669e+04          36168.6728        1000000         5.0680          No
47                2.3563e+04          25063.2363        1000000         5.0810          No
48                1.6496e+05         166463.1545        1000000         5.1610          No
49                5.9908e+04          61408.3801        1000000         5.0890          No
50                4.2032e+04          43531.7449        1000000         5.0920          No
51                4.3328e+04          44827.7340        1000000         5.0950          No
----------------------------------------------------------------------------------------------------
