Function F25 - HCLPSO-DC (D=100)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               8.928626e+02         3392.862564         522880        12.6080         Yes
2                 8.2684e+02           3326.8418         316760         7.7250         Yes
3                 8.0146e+02           3301.4638         298400         7.2640         Yes
4                 8.0690e+02           3306.9035         276760         6.7260         Yes
5                 8.3481e+02           3334.8144         288360         6.9870         Yes
6                 7.0152e+02           3201.5244         319520         7.7360         Yes
7                 1.1674e+03           3667.3636        1000000        24.0910          No
8                 1.0088e+03           3508.7765        1000000        23.9850          No
9                 9.3801e+02           3438.0126         350200         8.4850         Yes
10                1.0303e+03           3530.3177        1000000        24.1300          No
11                8.6278e+02           3362.7804         344480         8.3910         Yes
12                8.0308e+02           3303.0849         307560         7.4710         Yes
13                8.9846e+02           3398.4604         715520        17.2560         Yes
14                9.2469e+02           3424.6916         352360         8.5650         Yes
15                8.3519e+02           3335.1909         323640         7.8000         Yes
16                9.2705e+02           3427.0495         350360         8.4290         Yes
17                6.7918e+02           3179.1755         320920         7.7600         Yes
18                8.3834e+02           3338.3436         339680         8.2170         Yes
19                9.1167e+02           3411.6693         310240         7.5290         Yes
20                7.6850e+02           3268.5001         288880         6.9860         Yes
21                7.8759e+02           3287.5871         308680         7.5300         Yes
22                8.7078e+02           3370.7833         302960         7.3460         Yes
23                1.0228e+03           3522.7746        1000000        23.9350          No
24                1.5100e+03           4009.9701        1000000        24.0910          No
25                9.1612e+02           3416.1248         366000         8.8570         Yes
26                8.9656e+02           3396.5608         365640         8.8870         Yes
27                9.7828e+02           3478.2836         691760        16.6540         Yes
28                7.9847e+02           3298.4674         306920         7.3890         Yes
29                6.6550e+02           3165.4977         266200         6.4260         Yes
30                8.4347e+02           3343.4697         296000         7.1380         Yes
31                8.6842e+02           3368.4230         332640         8.0450         Yes
32                9.1201e+02           3412.0130         308200         7.4300         Yes
33                8.7858e+02           3378.5841         286680         6.9900         Yes
34                1.2221e+03           3722.1147        1000000        23.8680          No
35                8.3077e+02           3330.7708         318120         7.6710         Yes
36                8.6954e+02           3369.5395         298520         7.2570         Yes
37                9.9414e+02           3494.1366         605280        14.5980         Yes
38                9.9543e+02           3495.4344         995360        24.0890         Yes
39                7.4926e+02           3249.2576         355520         8.6670         Yes
40                9.1172e+02           3411.7159         339320         8.1900         Yes
41                9.8582e+02           3485.8182         435640        10.5620         Yes
42                9.4333e+02           3443.3312         465080        11.1960         Yes
43                1.3657e+03           3865.7012        1000000        24.1480          No
44                9.5885e+02           3458.8470         359560         8.6180         Yes
45                9.6992e+02           3469.9234         518240        12.5730         Yes
46                1.1030e+03           3602.9842        1000000        23.9820          No
47                7.2582e+02           3225.8219         317840         7.7560         Yes
48                8.4447e+02           3344.4661         330920         8.0530         Yes
49                8.5222e+02           3352.2240         368800         9.0210         Yes
50                8.8442e+02           3384.4174         324920         7.9500         Yes
51                8.1015e+02           3310.1478         287320         7.0130         Yes
----------------------------------------------------------------------------------------------------
