Function F13 - HCLPSO-DC (D=100)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               7.149096e+08    714910861.153125        1000000         5.0470          No
2                 7.8158e+08      781581230.4551        1000000         5.0310          No
3                 2.6275e+08      262752174.8585        1000000         5.0630          No
4                 7.0600e+08      706004832.3784        1000000         5.0100          No
5                 2.8009e+08      280096061.2923        1000000         5.0440          No
6                 7.0601e+08      706010514.8457        1000000         5.0800          No
7                 2.1031e+08      210307362.6497        1000000         5.0990          No
8                 1.1113e+05         112429.8884        1000000         5.1530          No
9                 5.6532e+04          57832.4259        1000000         5.1790          No
10                8.1312e+08      813117197.1861        1000000         5.0740          No
11                1.0838e+05         109676.6324        1000000         5.1830          No
12                9.5865e+04          97164.6660        1000000         5.2390          No
13                8.5597e+04          86896.6675        1000000         5.1690          No
14                5.2061e+08      520611965.7295        1000000         5.1630          No
15                1.8547e+05         186767.5909        1000000         5.3020          No
16                1.6317e+09     1631733986.4490        1000000         5.0680          No
17                1.9046e+08      190465161.5555        1000000         5.0550          No
18                7.1632e+08      716316844.7237        1000000         5.1650          No
19                1.3929e+05         140594.3678        1000000         5.2070          No
20                8.0413e+04          81712.8442        1000000         5.2580          No
21                2.7346e+08      273460691.5966        1000000         5.1550          No
22                7.8315e+04          79615.0387        1000000         5.2360          No
23                8.5558e+04          86858.3562        1000000         5.3190          No
24                1.5448e+09     1544760726.3274        1000000         5.2700          No
25                7.0600e+08      705996420.1226        1000000         5.1030          No
26                1.9045e+08      190452509.0086        1000000         5.1360          No
27                6.2039e+06        6205235.9644        1000000         5.1030          No
28                1.4918e+05         150482.6246        1000000         5.1360          No
29                1.9048e+08      190479053.0628        1000000         5.0410          No
30                2.0394e+08      203939567.5467        1000000         5.0620          No
31                6.2649e+06        6266158.6451        1000000         5.1010          No
32                7.0598e+08      705985928.4304        1000000         5.0460          No
33                6.6082e+04          67381.9894        1000000         5.0530          No
34                4.1246e+04          42546.0621        1000000         5.0510          No
35                6.2381e+06        6239434.6018        1000000         5.0630          No
36                2.8011e+08      280115704.4340        1000000         5.0250          No
37                2.7201e+09     2720123028.5912        1000000         5.0430          No
38                7.1490e+08      714903890.5715        1000000         5.0580          No
39                6.2488e+06        6250070.8095        1000000         5.0980          No
40                1.9046e+08      190464559.1674        1000000         5.0570          No
41                1.3242e+05         133723.5995        1000000         5.0950          No
42                1.4538e+05         146675.3074        1000000         5.0900          No
43                1.9048e+08      190486253.5756        1000000         5.0780          No
44                8.6000e+04          87300.4177        1000000         5.0840          No
45                7.3980e+04          75279.9028        1000000         5.0870          No
46                7.1634e+08      716336994.2810        1000000         5.0210          No
47                1.1816e+05         119460.8434        1000000         5.0640          No
48                2.8011e+08      280113433.1389        1000000         5.0290          No
49                2.8011e+08      280113276.7082        1000000         5.0490          No
50                5.4395e+04          55695.3374        1000000         5.0680          No
51                9.9091e+04         100391.2158        1000000         5.0690          No
----------------------------------------------------------------------------------------------------
