Function F10 - HCLPSO-OC (D=100)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               2.280944e+04        23809.442147        1000000         7.4540          No
2                 1.8071e+04          19071.3348        1000000         7.3030          No
3                 2.3826e+04          24826.0713        1000000         7.4270          No
4                 2.2473e+04          23473.2948        1000000         7.3390          No
5                 1.4416e+04          15416.4495        1000000         7.2580          No
6                 2.6414e+04          27414.2859        1000000         7.3810          No
7                 2.3428e+04          24428.4229        1000000         7.4080          No
8                 1.7048e+04          18047.9516        1000000         7.1780          No
9                 2.0769e+04          21769.4184        1000000         7.2790          No
10                2.2897e+04          23897.1838        1000000         7.3730          No
11                2.6385e+04          27384.8011        1000000         7.3800          No
12                1.6961e+04          17961.0458        1000000         7.3580          No
13                1.9448e+04          20447.6020        1000000         7.1380          No
14                2.2391e+04          23391.1321        1000000         7.2890          No
15                1.9886e+04          20885.7361        1000000         7.1800          No
16                2.5265e+04          26265.4818        1000000         7.3770          No
17                1.9896e+04          20896.4818        1000000         7.3710          No
18                2.1797e+04          22796.7634        1000000         7.2710          No
19                2.1141e+04          22140.9979        1000000         7.1970          No
20                2.1202e+04          22201.7395        1000000         7.3630          No
21                2.2973e+04          23973.4326        1000000         7.3800          No
22                1.9758e+04          20758.2883        1000000         7.3330          No
23                2.3001e+04          24001.4498        1000000         7.3600          No
24                1.4658e+04          15657.9543        1000000         7.3120          No
25                2.2396e+04          23396.3208        1000000         7.3670          No
26                2.1455e+04          22455.0441        1000000         7.2570          No
27                2.0600e+04          21599.9357        1000000         7.3500          No
28                1.9439e+04          20439.2709        1000000         7.3240          No
29                2.0929e+04          21928.6802        1000000         7.3760          No
30                1.7487e+04          18487.4212        1000000         7.2690          No
31                2.2679e+04          23679.3997        1000000         7.2050          No
32                1.8559e+04          19558.8434        1000000         7.1750          No
33                1.9235e+04          20235.3386        1000000         7.4080          No
34                2.0402e+04          21401.6588        1000000         7.2680          No
35                2.0728e+04          21728.1311        1000000         7.1650          No
36                1.8116e+04          19116.1367        1000000         7.1310          No
37                2.1756e+04          22755.9241        1000000         7.3480          No
38                2.1804e+04          22803.7453        1000000         7.3600          No
39                2.0633e+04          21632.9482        1000000         7.3520          No
40                1.7788e+04          18787.8334        1000000         7.2600          No
41                1.6801e+04          17801.2198        1000000         7.3700          No
42                2.4980e+04          25980.0759        1000000         7.3800          No
43                1.7775e+04          18774.8422        1000000         7.3430          No
44                1.8604e+04          19604.1667        1000000         7.2380          No
45                1.8523e+04          19522.7663        1000000         7.2020          No
46                2.2960e+04          23960.1254        1000000         7.3100          No
47                1.8283e+04          19283.4310        1000000         7.3240          No
48                1.6546e+04          17545.6624        1000000         7.3340          No
49                2.3204e+04          24203.9870        1000000         7.4010          No
50                2.5064e+04          26064.4740        1000000         7.3450          No
51                2.3455e+04          24455.1058        1000000         7.3450          No
----------------------------------------------------------------------------------------------------
