Function F22 - HCLPSO-OC (D=100)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               2.222484e+04        24424.837004        1000000        18.6440          No
2                 2.3570e+04          25770.1214        1000000        18.8110          No
3                 1.9480e+04          21680.3361        1000000        18.3910          No
4                 1.8115e+04          20314.8836        1000000        18.7470          No
5                 2.1350e+04          23549.6729        1000000        18.4580          No
6                 2.4021e+04          26221.3837        1000000        18.7140          No
7                 2.0119e+04          22319.1182        1000000        18.6380          No
8                 2.0114e+04          22313.9787        1000000        18.5810          No
9                 2.0270e+04          22470.4505        1000000        18.7390          No
10                2.3555e+04          25754.7788        1000000        18.7370          No
11                1.9634e+04          21834.1462        1000000        18.6350          No
12                2.2295e+04          24495.2335        1000000        18.5930          No
13                2.6809e+04          29008.6764        1000000        18.7320          No
14                2.1838e+04          24037.6646        1000000        18.5430          No
15                2.5140e+04          27339.8753        1000000        18.7340          No
16                2.1108e+04          23307.7177        1000000        18.6730          No
17                1.9627e+04          21827.0872        1000000        18.8440          No
18                1.9927e+04          22126.5647        1000000        18.5040          No
19                2.5270e+04          27470.3850        1000000        18.7880          No
20                2.4376e+04          26575.9434        1000000        18.6120          No
21                2.0476e+04          22676.3546        1000000        18.4300          No
22                2.2686e+04          24886.3327        1000000        18.7050          No
23                2.0373e+04          22572.8486        1000000        18.6740          No
24                1.9504e+04          21704.0182        1000000        18.7630          No
25                2.0104e+04          22304.4116        1000000        18.4750          No
26                2.1411e+04          23611.4581        1000000        18.4860          No
27                2.3394e+04          25593.5499        1000000        18.7120          No
28                2.3241e+04          25441.0973        1000000        18.7280          No
29                1.9608e+04          21807.5131        1000000        18.7430          No
30                1.5644e+04          17843.9138        1000000        18.6550          No
31                1.6409e+04          18608.8542        1000000        18.8690          No
32                2.5295e+04          27494.6214        1000000        18.5580          No
33                1.9760e+04          21960.2587        1000000        18.6120          No
34                2.4158e+04          26357.9806        1000000        18.7920          No
35                2.0473e+04          22673.4073        1000000        18.6680          No
36                2.7081e+04          29280.6044        1000000        18.7260          No
37                2.2191e+04          24391.4260        1000000        18.6380          No
38                1.9595e+04          21794.6924        1000000        18.6580          No
39                2.5120e+04          27319.5228        1000000        18.7200          No
40                2.0394e+04          22593.7272        1000000        18.7690          No
41                1.8685e+04          20884.9474        1000000        18.5940          No
42                1.8743e+04          20943.0993        1000000        18.8690          No
43                1.9300e+04          21500.2451        1000000        18.9700          No
44                2.3739e+04          25938.8535        1000000        18.8750          No
45                1.8520e+04          20719.8869        1000000        18.8330          No
46                2.5466e+04          27665.6736        1000000        18.8810          No
47                2.2203e+04          24402.7241        1000000        18.8500          No
48                2.4040e+04          26239.7142        1000000        18.9360          No
49                2.3665e+04          25864.6252        1000000        18.9340          No
50                1.8421e+04          20621.0478        1000000        18.9300          No
51                2.0299e+04          22498.9712        1000000        18.8040          No
----------------------------------------------------------------------------------------------------
