Function F1 - HCLPSO-DC (D=100)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               1.391884e+09   1391883663.505340        1000000         4.8820          No
2                 1.3703e+04          13803.1643        1000000         4.8270          No
3                 3.0857e+09     3085650149.5552        1000000         4.8890          No
4                 3.2057e+09     3205682877.6673        1000000         4.8760          No
5                 1.3918e+09     1391835998.8840        1000000         4.8640          No
6                 1.3681e+04          13780.6460        1000000         4.8070          No
7                 2.7202e+09     2720237409.4639        1000000         4.8090          No
8                 1.3684e+04          13784.4551        1000000         4.8490          No
9                 1.3719e+04          13818.5880        1000000         4.8460          No
10                8.5507e+09     8550672463.3618        1000000         4.7740          No
11                3.0857e+09     3085653908.8251        1000000         4.7570          No
12                1.1138e+09     1113776124.4293        1000000         4.7540          No
13                1.4644e+04          14743.8050        1000000         4.7510          No
14                1.5802e+09     1580219200.4018        1000000         4.7600          No
15                7.9135e+09     7913470091.9082        1000000         4.7610          No
16                1.3703e+04          13803.0626        1000000         4.7600          No
17                3.6673e+09     3667318680.2287        1000000         4.7570          No
18                1.3918e+09     1391831786.3294        1000000         4.7510          No
19                4.1181e+09     4118066069.4108        1000000         4.7510          No
20                6.0577e+09     6057681501.9905        1000000         4.7470          No
21                5.0026e+03           5102.6260        1000000         4.7580          No
22                3.0040e+09     3004030121.8682        1000000         4.7580          No
23                6.1368e+04          61467.6839        1000000         4.7560          No
24                3.0857e+09     3085653908.8299        1000000         4.7570          No
25                6.7068e+09     6706823439.3266        1000000         4.7670          No
26                7.4617e+09     7461721994.0287        1000000         4.7770          No
27                5.2686e+09     5268608781.1045        1000000         4.9150          No
28                6.1368e+04          61467.6839        1000000         4.8570          No
29                2.2221e+09     2222070705.1265        1000000         4.8590          No
30                1.1117e+10    11116979039.5561        1000000         4.7720          No
31                6.1974e+09     6197403207.8484        1000000         4.7640          No
32                3.5811e+09     3581097256.9124        1000000         4.7730          No
33                1.1460e+09     1146038410.4794        1000000         4.7980          No
34                1.6453e+09     1645276699.4683        1000000         4.7730          No
35                6.1368e+04          61467.6839        1000000         4.7660          No
36                4.6089e+09     4608931062.6874        1000000         4.8760          No
37                5.9777e+03           6077.6610        1000000         4.8050          No
38                7.1534e+09     7153441968.6698        1000000         4.7790          No
39                4.2989e+09     4298887551.7815        1000000         4.8090          No
40                3.7562e+09     3756232829.2345        1000000         4.8140          No
41                1.0722e+10    10721620045.3517        1000000         4.9210          No
42                1.3918e+09     1391832396.9661        1000000         4.7970          No
43                4.6821e+09     4682088823.4066        1000000         4.9200          No
44                2.2221e+09     2222058680.5844        1000000         4.7670          No
45                6.1368e+04          61467.6839        1000000         4.7860          No
46                1.3703e+04          13803.0626        1000000         4.7670          No
47                1.1816e+10    11816000926.7453        1000000         4.7700          No
48                5.6076e+04          56175.5067        1000000         4.7660          No
49                1.4807e+09     1480736466.1399        1000000         4.9500          No
50                1.3918e+09     1391835888.1698        1000000         4.9000          No
51                9.8357e+08      983568857.2734        1000000         4.8990          No
----------------------------------------------------------------------------------------------------
