Function F24 - HCLPSO-OC (D=100)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               2.768407e+03         5168.406885        1000000        21.4830          No
2                 3.0913e+03           5491.2975        1000000        21.1800          No
3                 2.3119e+03           4711.8666        1000000        21.4720          No
4                 2.7425e+03           5142.5063        1000000        21.0900          No
5                 2.3317e+03           4731.6752        1000000        20.9420          No
6                 2.2242e+03           4624.1589        1000000        21.2690          No
7                 2.1580e+03           4557.9971        1000000        21.4160          No
8                 2.2746e+03           4674.5811        1000000        21.4090          No
9                 2.6463e+03           5046.3380        1000000        21.1100          No
10                2.4841e+03           4884.0893        1000000        21.2420          No
11                2.8416e+03           5241.6090        1000000        21.2880          No
12                2.1273e+03           4527.3200        1000000        21.7890          No
13                2.0983e+03           4498.2705        1000000        21.4050          No
14                2.5851e+03           4985.0809        1000000        21.2850          No
15                2.3229e+03           4722.8640        1000000        21.2690          No
16                2.5222e+03           4922.2107        1000000        21.4440          No
17                2.5544e+03           4954.3879        1000000        21.3600          No
18                2.5836e+03           4983.6369        1000000        21.4540          No
19                2.4272e+03           4827.2407        1000000        21.4060          No
20                2.4909e+03           4890.9238        1000000        21.3940          No
21                2.3477e+03           4747.6675        1000000        21.3850          No
22                2.3227e+03           4722.7067        1000000        20.9840          No
23                2.7553e+03           5155.2632        1000000        21.2730          No
24                2.7543e+03           5154.3002        1000000        21.4070          No
25                2.5458e+03           4945.7615        1000000        21.4770          No
26                2.7516e+03           5151.5727        1000000        21.4420          No
27                2.7967e+03           5196.7363        1000000        21.5550          No
28                2.5469e+03           4946.9399        1000000        21.3160          No
29                2.5929e+03           4992.9446        1000000        21.2280          No
30                2.3048e+03           4704.7603        1000000        21.5620          No
31                2.9329e+03           5332.9065        1000000        21.3670          No
32                2.3557e+03           4755.7144        1000000        21.0800          No
33                2.2929e+03           4692.8557        1000000        21.5120          No
34                2.1353e+03           4535.3139        1000000        21.3140          No
35                2.6135e+03           5013.4653        1000000        21.4440          No
36                2.6901e+03           5090.0918        1000000        21.3250          No
37                2.3237e+03           4723.7391        1000000        21.1980          No
38                2.1438e+03           4543.7543        1000000        21.2460          No
39                2.7145e+03           5114.5274        1000000        21.0950          No
40                2.4528e+03           4852.8049        1000000        21.2690          No
41                2.4682e+03           4868.2128        1000000        21.5250          No
42                2.7454e+03           5145.3991        1000000        21.4200          No
43                2.8778e+03           5277.7842        1000000        21.4200          No
44                2.4231e+03           4823.1347        1000000        21.2990          No
45                2.3484e+03           4748.4482        1000000        21.3180          No
46                2.2025e+03           4602.4748        1000000        21.3770          No
47                2.2214e+03           4621.3923        1000000        21.2900          No
48                2.6344e+03           5034.4473        1000000        21.3900          No
49                2.8550e+03           5255.0242        1000000        21.3990          No
50                1.8674e+03           4267.4327        1000000        21.2230          No
51                2.5636e+03           4963.5735        1000000        21.4250          No
----------------------------------------------------------------------------------------------------
