
============================================================================================================================================
TABLE: CONVERGENCE SPEED - HCLPSO-DC (D=100)
Population: N=40 | Runs: 51 | MaxFE: 1000000 | εtol: 40.00%
============================================================================================================================================
Function             Mean CFEs          Std CFEs      Success Rate      Mean CTs (s)       Std CTs (s)
--------------------------------------------------------------------------------------------------------------------------------------------
F1                     1000000                 0               0.0%            4.8068            0.0568
F3                     1000000                 0               0.0%            4.8425            0.0548
F4                     1000000                 0               0.0%            5.0478            0.0583
F5                     1000000                 0               0.0%            5.5804            0.0598
F6                          80                 0             100.0%            0.0001            0.0004
F7                     1000000                 0               0.0%            5.4571            0.0590
F8                     1000000                 0               0.0%            5.4820            0.0425
F9                     1000000                 0               0.0%            5.4972            0.0401
F10                    1000000                 0               0.0%            7.0481            0.0407
F11                    1000000                 0               0.0%            5.0867            0.0271
F12                    1000000                 0               0.0%            5.3939            0.0861
F13                    1000000                 0               0.0%            5.1074            0.0757
F14                    1000000                 0               0.0%            5.6316            0.0746
F15                    1000000                 0               0.0%            4.9360            0.0386
F16                    1000000                 0               0.0%            5.6909            0.3417
F17                    1000000                 0               0.0%            7.3052            0.3550
F18                    1000000                 0               0.0%            5.5684            0.1273
F19                    1000000                 0               0.0%           22.2462            0.4745
F20                    1000000                 0               0.0%            7.6291            0.0814
F21                     981385             93283               3.9%           15.2735            1.4576
F22                    1000000                 0               0.0%           18.9819            0.4054
F23                    1000000                 0               0.0%           21.0306            0.2828
F24                    1000000                 0               0.0%           20.7187            0.2968
F25                     474091            260492              84.3%           11.4524            6.2404
F26                    1000000                 0               0.0%           26.9916            0.4042
F27                     966759            164585               3.9%           28.7756            4.8603
F28                    1000000                 0               0.0%           28.9699            0.2018
F29                    1000000                 0               0.0%           17.6901            0.1297
F30                    1000000                 0               0.0%           31.3280            0.5381
--------------------------------------------------------------------------------------------------------------------------------------------
============================================================================================================================================
