
============================================================================================================================================
TABLE: CONVERGENCE SPEED - HCLPSO-OC (D=100)
Population: N=40 | Runs: 51 | MaxFE: 1000000 | εtol: 40.00%
============================================================================================================================================
Function             Mean CFEs          Std CFEs      Success Rate      Mean CTs (s)       Std CTs (s)
--------------------------------------------------------------------------------------------------------------------------------------------
F1                     1000000                 0               0.0%            4.9140            0.0304
F3                     1000000                 0               0.0%            4.9442            0.0335
F4                     1000000                 0               0.0%            5.1346            0.0240
F5                     1000000                 0               0.0%            5.7186            0.0481
F6                          80                 0             100.0%            0.0001            0.0006
F7                     1000000                 0               0.0%            5.7146            0.0468
F8                     1000000                 0               0.0%            5.6952            0.0566
F9                     1000000                 0               0.0%            5.7648            0.0339
F10                    1000000                 0               0.0%            7.3121            0.0787
F11                    1000000                 0               0.0%            5.2504            0.0301
F12                    1000000                 0               0.0%            5.4465            0.0397
F13                    1000000                 0               0.0%            5.2323            0.0367
F14                    1000000                 0               0.0%            5.8587            0.0543
F15                    1000000                 0               0.0%            5.0952            0.0281
F16                    1000000                 0               0.0%            5.7114            0.0602
F17                    1000000                 0               0.0%            7.2944            0.0622
F18                    1000000                 0               0.0%            5.2958            0.0470
F19                    1000000                 0               0.0%           21.5873            0.2750
F20                    1000000                 0               0.0%            7.4537            0.0505
F21                     987911             61637               3.9%           14.7931            0.9204
F22                    1000000                 0               0.0%           18.7054            0.1369
F23                    1000000                 0               0.0%           21.5290            0.2134
F24                    1000000                 0               0.0%           21.3387            0.1514
F25                     683188            313667              52.9%           15.8221            7.2611
F26                    1000000                 0               0.0%           25.8688            0.2520
F27                    1000000                 0               0.0%           28.1238            0.1413
F28                    1000000                 0               0.0%           27.2235            0.1871
F29                    1000000                 0               0.0%           16.4557            0.1095
F30                    1000000                 0               0.0%           28.8776            0.4636
--------------------------------------------------------------------------------------------------------------------------------------------
============================================================================================================================================
