Function F30 - HCLPSO-DC (D=10)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               3.142265e+04        34422.646494         100000         0.1800          No
2                 2.6645e+04          29644.6974         100000         0.1960          No
3                 8.1758e+05         820578.3099         100000         0.1810          No
4                 4.0261e+03           7026.1368         100000         0.1730          No
5                 1.7579e+06        1760900.9272         100000         0.1610          No
6                 4.9181e+05         494805.5324         100000         0.1930          No
7                 9.2887e+03          12288.6570         100000         0.1900          No
8                 8.8344e+03          11834.4124         100000         0.1930          No
9                 1.1204e+04          14203.9755         100000         0.1920          No
10                8.1759e+05         820592.4428         100000         0.1780          No
11                2.6921e+03           5692.1150         100000         0.1710          No
12                4.0024e+06        4005388.0981         100000         0.1640          No
13                8.8679e+03          11867.8577         100000         0.1690          No
14                1.1803e+05         121031.6221         100000         0.1790          No
15                2.4497e+03           5449.7239         100000         0.1890          No
16                1.1651e+05         119510.1305         100000         0.1710          No
17                1.1806e+04          14805.8691         100000         0.1950          No
18                8.1759e+05         820585.0941         100000         0.1750          No
19                6.0172e+03           9017.1732         100000         0.1880          No
20                1.5184e+03           4518.3829         100000         0.1880          No
21                3.2245e+03           6224.5254         100000         0.1930          No
22                4.5719e+03           7571.9156         100000         0.1850          No
23                3.3080e+04          36080.3212         100000         0.1710          No
24                2.0183e+04          23182.5176         100000         0.1760          No
25                1.7678e+03           4767.7643         100000         0.1850          No
26                4.7225e+05         475254.1905         100000         0.1630          No
27                4.3971e+04          46970.7433         100000         0.1860          No
28                1.1860e+04          14860.0796         100000         0.1900          No
29                8.1761e+05         820613.2209         100000         0.1770          No
30                7.0897e+04          73897.3528         100000         0.1950          No
31                4.5555e+03           7555.5250         100000         0.1830          No
32                3.1413e+04          34413.1282         100000         0.1700          No
33                8.1763e+05         820630.9790         100000         0.1670          No
34                4.7225e+05         475254.1299         100000         0.1700          No
35                2.4446e+04          27445.9112         100000         0.1740          No
36                1.1152e+04          14151.5819         100000         0.1700          No
37                1.0407e+04          13407.3186         100000         0.1620          No
38                2.6785e+03           5678.4556         100000         0.1690          No
39                5.5822e+04          58821.7228         100000         0.1680          No
40                1.1860e+04          14860.1146         100000         0.1860          No
41                8.1763e+05         820633.8779         100000         0.1820          No
42                9.4147e+03          12414.6894         100000         0.1560          No
43                6.0320e+03           9031.9603         100000         0.1710          No
44                3.1416e+04          34416.0051         100000         0.1660          No
45                5.4110e+04          57110.0250         100000         0.1790          No
46                8.1760e+05         820602.6247         100000         0.1820          No
47                8.7885e+03          11788.5212         100000         0.1560          No
48                1.1901e+04          14900.7594         100000         0.1940          No
49                4.7225e+05         475254.1227         100000         0.1550          No
50                3.1417e+04          34416.5010         100000         0.1800          No
51                1.5705e+05         160046.0978         100000         0.1750          No
----------------------------------------------------------------------------------------------------
