
========================================================================================================================
F29 - HCLPSO-OC (D=10)
========================================================================================================================

Run                  Error           Fitness           CFEs     CTs (s)   Converged
-------------------------------------------------------------------------------------
1             2.404077e+02       3140.407718         100000      0.0650          No
2               2.6022e+02         3160.2169         100000      0.0650          No
3               2.4397e+02         3143.9694         100000      0.0650          No
4               2.3489e+02         3134.8882         100000      0.0620          No
5               2.9863e+02         3198.6288         100000      0.0640          No
6               2.8587e+02         3185.8744         100000      0.0640          No
7               2.5407e+02         3154.0679         100000      0.0610          No
8               2.3634e+02         3136.3424         100000      0.0600          No
9               3.1619e+02         3216.1890         100000      0.0630          No
10              3.1098e+02         3210.9750         100000      0.0630          No
11              2.5247e+02         3152.4659         100000      0.0650          No
12              2.6109e+02         3161.0884         100000      0.0630          No
13              3.1313e+02         3213.1295         100000      0.0630          No
14              2.4015e+02         3140.1489         100000      0.0620          No
15              3.0053e+02         3200.5278         100000      0.0620          No
16              2.5771e+02         3157.7125         100000      0.0610          No
17              2.5690e+02         3156.8977         100000      0.0620          No
18              2.6216e+02         3162.1590         100000      0.0610          No
19              3.0792e+02         3207.9217         100000      0.0640          No
20              2.6346e+02         3163.4621         100000      0.0610          No
21              2.9832e+02         3198.3161         100000      0.0620          No
22              2.5412e+02         3154.1181         100000      0.0610          No
23              2.4968e+02         3149.6836         100000      0.0600          No
24              2.5938e+02         3159.3806         100000      0.0610          No
25              2.4394e+02         3143.9425         100000      0.0600          No
26              2.3404e+02         3134.0352         100000      0.0600          No
27              2.8092e+02         3180.9220         100000      0.0630          No
28              2.3722e+02         3137.2168         100000      0.0590          No
29              2.6137e+02         3161.3660         100000      0.0620          No
30              2.9060e+02         3190.6033         100000      0.0610          No
31              2.5574e+02         3155.7392         100000      0.0610          No
32              2.6422e+02         3164.2214         100000      0.0610          No
33              2.7843e+02         3178.4298         100000      0.0620          No
34              2.4751e+02         3147.5093         100000      0.0610          No
35              2.4233e+02         3142.3283         100000      0.0610          No
36              2.3402e+02         3134.0244         100000      0.0600          No
37              2.6107e+02         3161.0695         100000      0.0620          No
38              2.8593e+02         3185.9317         100000      0.0630          No
39              2.4419e+02         3144.1926         100000      0.0630          No
40              2.5016e+02         3150.1634         100000      0.0600          No
41              2.6917e+02         3169.1745         100000      0.0610          No
42              2.3802e+02         3138.0207         100000      0.0600          No
43              2.9431e+02         3194.3137         100000      0.0620          No
44              2.7434e+02         3174.3376         100000      0.0600          No
45              2.6467e+02         3164.6735         100000      0.0620          No
46              3.3349e+02         3233.4893         100000      0.0650          No
47              2.3530e+02         3135.3004         100000      0.0650          No
48              2.3899e+02         3138.9938         100000      0.0620          No
49              2.8816e+02         3188.1576         100000      0.0630          No
50              2.5171e+02         3151.7062         100000      0.0610          No
51              2.4075e+02         3140.7504         100000      0.0600          No
-------------------------------------------------------------------------------------
