
========================================================================================================================
F1 - HCLPSO-OC (D=10)
========================================================================================================================

Run                  Error           Fitness           CFEs     CTs (s)   Converged
-------------------------------------------------------------------------------------
1             4.314814e+03       4414.813875         100000      0.0230          No
2               1.2493e+04        12592.5535         100000      0.0170          No
3               1.2532e+04        12631.7053         100000      0.0140          No
4               1.2495e+04        12594.7331         100000      0.0120          No
5               1.2641e+04        12740.8275         100000      0.0110          No
6               5.4779e+03         5577.8979         100000      0.0110          No
7               7.0058e+07     70058020.7959         100000      0.0110          No
8               5.5320e+03         5631.9753         100000      0.0110          No
9               1.2641e+04        12740.8275         100000      0.0100          No
10              1.2578e+04        12677.9609         100000      0.0110          No
11              5.4967e+03         5596.7375         100000      0.0110          No
12              1.2517e+04        12617.1947         100000      0.0110          No
13              5.4092e+03         5509.2359         100000      0.0110          No
14              1.2425e+04        12524.7880         100000      0.0110          No
15              5.5320e+03         5631.9753         100000      0.0100          No
16              5.5320e+03         5631.9753         100000      0.0100          No
17              1.2530e+04        12629.9736         100000      0.0110          No
18              1.2641e+04        12740.8275         100000      0.0100          No
19              1.2501e+04        12601.1173         100000      0.0110          No
20              5.5121e+03         5612.1020         100000      0.0110          No
21              5.4795e+03         5579.5123         100000      0.0110          No
22              1.2541e+04        12641.3042         100000      0.0110          No
23              1.2641e+04        12740.8275         100000      0.0110          No
24              1.2641e+04        12740.8275         100000      0.0110          No
25              2.4730e+03         2573.0083         100000      0.0120          No
26              5.3523e+03         5452.3449         100000      0.0120          No
27              5.4483e+03         5548.3364         100000      0.0110          No
28              1.2189e+04        12289.1546         100000      0.0110          No
29              5.5320e+03         5631.9753         100000      0.0110          No
30              1.2453e+04        12553.2387         100000      0.0120          No
31              1.2338e+04        12438.2672         100000      0.0110          No
32              4.8661e+03         4966.1204         100000      0.0120          No
33              5.5320e+03         5631.9753         100000      0.0110          No
34              1.2478e+04        12578.4155         100000      0.0110          No
35              1.2176e+04        12276.3212         100000      0.0110          No
36              1.2437e+04        12536.7025         100000      0.0110          No
37              5.5320e+03         5631.9753         100000      0.0100          No
38              5.5320e+03         5631.9753         100000      0.0110          No
39              4.1593e+03         4259.3251         100000      0.0110          No
40              1.2467e+04        12567.2800         100000      0.0110          No
41              5.4699e+03         5569.8563         100000      0.0110          No
42              5.5320e+03         5631.9753         100000      0.0100          No
43              5.4325e+03         5532.5100         100000      0.0110          No
44              1.2532e+04        12631.5014         100000      0.0110          No
45              4.5055e+02          550.5512         100000      0.0110          No
46              5.5320e+03         5631.9753         100000      0.0100          No
47              1.2641e+04        12740.8275         100000      0.0100          No
48              9.5757e+03         9675.6955         100000      0.0110          No
49              1.2641e+04        12740.8275         100000      0.0100          No
50              5.4509e+03         5550.9451         100000      0.0110          No
51              1.2550e+04        12650.2052         100000      0.0110          No
-------------------------------------------------------------------------------------
