Function F11 - HCLPSO-OC (D=10)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               2.791818e+01         1127.918182          21080         0.0030         Yes
2                 3.0254e+00           1103.0254          19080         0.0030         Yes
3                 1.3959e+01           1113.9587          24520         0.0040         Yes
4                 6.1696e+00           1106.1696          14440         0.0020         Yes
5                 2.0452e+00           1102.0452          17400         0.0020         Yes
6                 7.1332e+00           1107.1332          16520         0.0020         Yes
7                 7.1683e+01           1171.6830         100000         0.0180          No
8                 2.1212e+00           1102.1212          21720         0.0030         Yes
9                 3.0531e+00           1103.0531          15440         0.0020         Yes
10                6.6864e+00           1106.6864          16840         0.0020         Yes
11                7.0891e+00           1107.0891          71000         0.0110         Yes
12                4.0784e+00           1104.0784          14840         0.0020         Yes
13                6.0575e+00           1106.0575          18240         0.0030         Yes
14                1.1027e+01           1111.0270          14560         0.0020         Yes
15                3.1070e+00           1103.1070          14080         0.0020         Yes
16                3.0835e+00           1103.0835          16640         0.0020         Yes
17                2.0790e+00           1102.0790          19960         0.0030         Yes
18                3.0614e+00           1103.0614          17560         0.0020         Yes
19                2.0362e+00           1102.0362          23680         0.0040         Yes
20                2.0383e+00           1102.0383          17400         0.0030         Yes
21                9.0851e+00           1109.0851          26880         0.0040         Yes
22                3.1944e+00           1103.1944          23960         0.0030         Yes
23                2.0630e+01           1120.6297          67200         0.0110         Yes
24                4.0250e+00           1104.0250          17640         0.0020         Yes
25                1.0761e+00           1101.0761          16240         0.0020         Yes
26                1.1718e+00           1101.1718          25560         0.0040         Yes
27                9.0020e+00           1109.0020          17800         0.0020         Yes
28                7.0339e+00           1107.0339          17880         0.0020         Yes
29                4.1100e+00           1104.1100          16320         0.0020         Yes
30                2.0179e+00           1102.0179          27360         0.0040         Yes
31                3.1618e+00           1103.1618          75640         0.0140         Yes
32                3.7520e+00           1103.7520          19880         0.0030         Yes
33                3.0080e+00           1103.0080          21600         0.0030         Yes
34                3.0421e+00           1103.0421          18880         0.0030         Yes
35                3.1588e+00           1103.1588          15200         0.0020         Yes
36                4.9901e+00           1104.9901          14640         0.0020         Yes
37                1.7759e+01           1117.7586          30120         0.0050         Yes
38                2.2316e+00           1102.2316          14440         0.0020         Yes
39                9.0101e+00           1109.0101          16840         0.0030         Yes
40                2.1403e+00           1102.1403          16520         0.0030         Yes
41                1.0806e+00           1101.0806          17560         0.0020         Yes
42                2.1486e+00           1102.1486          20120         0.0030         Yes
43                7.3745e+00           1107.3745          20760         0.0030         Yes
44                1.0257e+00           1101.0257          19520         0.0030         Yes
45                3.1184e+00           1103.1184          27120         0.0040         Yes
46                4.5912e-02           1100.0459          17280         0.0020         Yes
47                2.0128e+00           1102.0128          11880         0.0010         Yes
48                7.7799e-02           1100.0778          14080         0.0020         Yes
49                5.0058e+00           1105.0058          15920         0.0020         Yes
50                3.1993e+00           1103.1993          17360         0.0020         Yes
51                2.9254e+01           1129.2541          26040         0.0040         Yes
----------------------------------------------------------------------------------------------------
