Function F17 - HCLPSO-DC (D=10)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               3.449229e+01         1734.492285          18320         0.0060         Yes
2                 4.2110e+01           1742.1096          11120         0.0030         Yes
3                 3.0226e+01           1730.2261          18720         0.0060         Yes
4                 5.0658e+01           1750.6576          16800         0.0050         Yes
5                 3.6168e+01           1736.1680          13520         0.0040         Yes
6                 3.9690e+01           1739.6905          19800         0.0060         Yes
7                 2.5829e+01           1725.8286          39680         0.0130         Yes
8                 1.8478e+01           1718.4781          29040         0.0100         Yes
9                 4.9935e+01           1749.9354          22840         0.0080         Yes
10                5.3840e+01           1753.8404          13280         0.0040         Yes
11                5.4084e+01           1754.0842          17000         0.0050         Yes
12                4.6934e+01           1746.9344          18520         0.0060         Yes
13                2.2754e+01           1722.7542          19840         0.0060         Yes
14                3.4817e+01           1734.8170          18600         0.0060         Yes
15                4.1801e+01           1741.8006          18240         0.0060         Yes
16                3.4919e+01           1734.9189          18040         0.0060         Yes
17                2.3691e+01           1723.6910          12120         0.0040         Yes
18                4.3247e+01           1743.2468          20840         0.0070         Yes
19                5.4933e+01           1754.9325          18120         0.0060         Yes
20                5.6272e+01           1756.2720           6960         0.0020         Yes
21                2.8228e+01           1728.2284          20840         0.0070         Yes
22                3.7772e+01           1737.7719          16880         0.0060         Yes
23                5.3757e+01           1753.7569          28840         0.0090         Yes
24                6.0555e+01           1760.5548          31960         0.0110         Yes
25                4.5920e+01           1745.9199          21360         0.0080         Yes
26                5.1809e+01           1751.8091          15320         0.0050         Yes
27                3.6880e+01           1736.8801          16280         0.0080         Yes
28                3.8481e+01           1738.4813          15040         0.0060         Yes
29                3.5657e+01           1735.6569          18240         0.0060         Yes
30                4.1594e+01           1741.5943          16160         0.0070         Yes
31                4.3089e+01           1743.0889          13000         0.0060         Yes
32                5.0663e+01           1750.6628          17680         0.0070         Yes
33                3.1773e+01           1731.7729          26040         0.0090         Yes
34                5.2519e+01           1752.5193          22200         0.0090         Yes
35                5.0717e+01           1750.7173          15600         0.0050         Yes
36                5.8147e+01           1758.1466          17920         0.0060         Yes
37                3.8971e+01           1738.9713          22880         0.0080         Yes
38                3.8294e+01           1738.2940          12120         0.0040         Yes
39                4.1366e+01           1741.3661          29040         0.0100         Yes
40                5.0647e+01           1750.6468          21280         0.0070         Yes
41                3.3972e+01           1733.9723          14720         0.0050         Yes
42                5.3231e+01           1753.2314          13400         0.0040         Yes
43                3.4883e+01           1734.8835          20400         0.0070         Yes
44                3.3520e+01           1733.5198          15360         0.0050         Yes
45                3.9602e+00           1703.9602          13960         0.0040         Yes
46                5.1905e+01           1751.9055          12120         0.0040         Yes
47                3.4466e+01           1734.4665          28560         0.0090         Yes
48                3.5559e+01           1735.5592          15880         0.0050         Yes
49                4.2131e+01           1742.1309          36080         0.0120         Yes
50                4.9221e+01           1749.2210          17640         0.0050         Yes
51                5.4041e+01           1754.0411          12720         0.0040         Yes
----------------------------------------------------------------------------------------------------
