Function F19 - HCLPSO-DC (D=10)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               7.502069e+02         2650.206894         100000         0.1760          No
2                 4.7652e+02           2376.5162          73040         0.1670         Yes
3                 4.9900e+02           2399.0038          74160         0.1270         Yes
4                 6.8874e+02           2588.7445         100000         0.1730          No
5                 4.9723e+02           2397.2328         100000         0.1740          No
6                 1.9345e+02           2093.4469         100000         0.1720          No
7                 1.4214e+02           2042.1373          54680         0.0920         Yes
8                 6.8651e+01           1968.6508          84320         0.1410         Yes
9                 7.3166e+02           2631.6556         100000         0.1780          No
10                5.1649e+02           2416.4937         100000         0.1720          No
11                6.8033e+02           2580.3263          76160         0.1270         Yes
12                7.7503e+02           2675.0331         100000         0.1690          No
13                1.8798e+02           2087.9802          65320         0.1100         Yes
14                7.7706e+02           2677.0632         100000         0.1690          No
15                6.6429e+02           2564.2852         100000         0.1680          No
16                2.4071e+02           2140.7095         100000         0.1680          No
17                2.5369e+02           2153.6851         100000         0.1670          No
18                4.2697e+02           2326.9736         100000         0.1680          No
19                6.5141e+02           2551.4111          75920         0.1270         Yes
20                2.2628e+02           2126.2825         100000         0.1700          No
21                7.0140e+02           2601.3981         100000         0.1700          No
22                7.4291e+02           2642.9114          94000         0.1600         Yes
23                7.8180e+02           2681.8042          78920         0.1320         Yes
24                1.0283e+01           1910.2834          43240         0.0710         Yes
25                2.5445e+02           2154.4497         100000         0.1700          No
26                8.4273e+01           1984.2732          61400         0.1000         Yes
27                4.5170e+02           2351.6964          36400         0.0600         Yes
28                3.8914e+01           1938.9144          73920         0.1250         Yes
29                3.1684e+02           2216.8364         100000         0.1710          No
30                7.7230e+02           2672.2978         100000         0.1660          No
31                3.6611e+02           2266.1073          87400         0.1470         Yes
32                7.7714e+02           2677.1356         100000         0.1710          No
33                7.7053e+02           2670.5298         100000         0.1660          No
34                1.3610e+02           2036.1014         100000         0.1690          No
35                1.0188e+01           1910.1881          56520         0.0940         Yes
36                4.5415e+02           2354.1520          64440         0.1090         Yes
37                5.5052e+02           2450.5179         100000         0.1720          No
38                6.2840e+01           1962.8396          58600         0.0940         Yes
39                5.3964e+02           2439.6402          74560         0.1270         Yes
40                3.2886e+01           1932.8863          68480         0.1140         Yes
41                1.5062e+02           2050.6245          65280         0.1060         Yes
42                3.9389e+01           1939.3895          60360         0.1000         Yes
43                2.7361e+02           2173.6079          80520         0.1360         Yes
44                6.6121e+01           1966.1209          78280         0.1310         Yes
45                3.4593e+01           1934.5928          63160         0.1040         Yes
46                1.1016e+02           2010.1624          95320         0.1670         Yes
47                7.1784e+01           1971.7840          85440         0.1440         Yes
48                6.3852e+02           2538.5246         100000         0.1750          No
49                5.3289e+01           1953.2893          60160         0.1050         Yes
50                3.4786e+02           2247.8619         100000         0.1740          No
51                5.6153e+02           2461.5310          76760         0.1350         Yes
----------------------------------------------------------------------------------------------------
