
========================================================================================================================
HCLPSO-OC Accuracy Results (D=10, Runs=51, εtol=5.000000%)
========================================================================================================================

Function                Mean               Std            Median              Best             Worst
------------------------------------------------------------------------------------------------------------------------
F1                1.3824e+06        9.7122e+06        1.2176e+04        4.5055e+02        7.0058e+07
F3                8.2144e-13        7.3465e-13        5.6843e-13        1.1369e-13        3.4674e-12
F4                1.5915e+00        2.4586e+00        6.6954e-01        2.5782e-01        8.3034e+00
F5                1.6952e+01        5.2274e+00        1.6919e+01        4.9748e+00        2.9285e+01
F6                4.4163e-06        1.5711e-05        1.0203e-07        2.2760e-10        1.0680e-04
F7                2.0974e+01        4.8262e+00        1.9719e+01        1.1924e+01        4.4770e+01
F8                1.5665e+01        5.5056e+00        1.4924e+01        7.9597e+00        2.6864e+01
F9                3.7896e-14        5.3592e-14        0.0000e+00        0.0000e+00        1.1369e-13
F10               6.7668e+02        2.0027e+02        6.7628e+02        3.3725e+02        1.1251e+03
F11               5.5102e+00        4.5422e+00        4.0731e+00        7.4353e-02        2.1586e+01
F12               2.9969e+04        2.3425e+04        1.6294e+04        1.1743e+03        6.5588e+04
F13               1.2450e+03        1.8220e+03        1.0119e+03        1.7607e+02        1.3971e+04
F14               1.2618e+02        1.6135e+02        6.8245e+01        2.7537e+01        8.3100e+02
F15               4.8802e+02        8.5175e+02        1.8639e+02        8.8635e+00        5.2315e+03
F16               2.0977e+01        1.7393e+01        1.2864e+01        1.5286e+00        6.7237e+01
F17               3.8860e+01        1.2582e+01        4.1990e+01        3.4648e+00        5.7989e+01
F18               1.0569e+04        8.6423e+03        6.7821e+03        1.0615e+03        3.8554e+04
F19               1.8954e+03        4.6447e+03        1.4591e+02        1.1309e+01        1.9893e+04
F20               2.2167e+01        1.0440e+01        2.2614e+01        3.1217e-01        4.3191e+01
F21               2.0461e+02        4.0980e+01        2.1827e+02        1.0222e+02        2.3476e+02
F22               1.2391e+02        1.6455e+02        1.0060e+02        1.0000e+02        1.2874e+03
F23               3.2205e+02        8.7310e+00        3.2005e+02        3.0969e+02        3.5736e+02
F24               3.5487e+02        6.4128e+00        3.5425e+02        3.4196e+02        3.7507e+02
F25               4.1863e+02        2.3000e+01        4.0009e+02        3.9774e+02        4.4797e+02
F26               4.4667e+02        2.1362e+02        3.9044e+02        3.4715e+02        1.2945e+03
F27               3.9509e+02        4.6085e+00        3.9360e+02        3.9009e+02        4.1314e+02
F28               5.3080e+02        1.2430e+02        5.8375e+02        3.0000e+02        9.3181e+02
F29               2.6469e+02        2.5259e+01        2.5938e+02        2.3402e+02        3.3349e+02
F30               2.5090e+05        3.3515e+05        5.4715e+04        2.8299e+03        1.2488e+06
========================================================================================================================
