
========================================================================================================================
F13 - HCLPSO-DC (D=10)
========================================================================================================================

Run                  Error           Fitness           CFEs     CTs (s)   Converged
-------------------------------------------------------------------------------------
1             1.012265e+03       2312.264563         100000      0.0180          No
2               9.2353e+02         2223.5265         100000      0.0190          No
3               1.3103e+02         1431.0260         100000      0.0180          No
4               1.0614e+03         2361.4432         100000      0.0180          No
5               1.0562e+03         2356.2211         100000      0.0180          No
6               1.6324e+03         2932.4500         100000      0.0180          No
7               1.0089e+03         2308.9112         100000      0.0180          No
8               1.2472e+03         2547.1878         100000      0.0180          No
9               8.8429e+02         2184.2856         100000      0.0180          No
10              1.4425e+03         2742.5304         100000      0.0180          No
11              2.9293e+03         4229.3082         100000      0.0180          No
12              1.1065e+03         2406.5155         100000      0.0180          No
13              1.1792e+03         2479.1997         100000      0.0180          No
14              1.7568e+03         3056.8246         100000      0.0190          No
15              1.0229e+03         2322.9363         100000      0.0200          No
16              1.0489e+03         2348.9053         100000      0.0190          No
17              1.0284e+03         2328.4300         100000      0.0190          No
18              1.0288e+03         2328.8334         100000      0.0190          No
19              6.4637e+02         1946.3728         100000      0.0180          No
20              2.7105e+03         4010.4676         100000      0.0180          No
21              1.1126e+03         2412.5910         100000      0.0180          No
22              3.4279e+02         1642.7887         100000      0.0180          No
23              9.9548e+02         2295.4848         100000      0.0180          No
24              8.2445e+02         2124.4549         100000      0.0180          No
25              1.0127e+03         2312.6902         100000      0.0180          No
26              3.0442e+03         4344.1538         100000      0.0180          No
27              1.7965e+02         1479.6483         100000      0.0180          No
28              1.2346e+03         2534.6279         100000      0.0180          No
29              1.0154e+03         2315.3736         100000      0.0180          No
30              5.4706e+02         1847.0558         100000      0.0180          No
31              1.9482e+03         3248.2041         100000      0.0180          No
32              1.0096e+03         2309.5842         100000      0.0180          No
33              2.1901e+02         1519.0050         100000      0.0180          No
34              1.1347e+03         2434.6646         100000      0.0180          No
35              1.2765e+03         2576.5031         100000      0.0180          No
36              9.6646e+02         2266.4623         100000      0.0180          No
37              3.2136e+03         4513.5955         100000      0.0180          No
38              1.2255e+03         2525.5172         100000      0.0180          No
39              1.2333e+03         2533.2770         100000      0.0180          No
40              1.9384e+02         1493.8380         100000      0.0180          No
41              1.8915e+03         3191.4693         100000      0.0180          No
42              1.0165e+03         2316.4869         100000      0.0180          No
43              1.8911e+03         3191.0647         100000      0.0180          No
44              1.1070e+03         2406.9766         100000      0.0180          No
45              4.9485e+03         6248.4905         100000      0.0180          No
46              8.6127e+02         2161.2720         100000      0.0180          No
47              1.0101e+03         2310.1349         100000      0.0180          No
48              1.2764e+03         2576.4395         100000      0.0180          No
49              2.3456e+03         3645.6094         100000      0.0180          No
50              1.9917e+03         3291.7106         100000      0.0180          No
51              1.0119e+03         2311.8544         100000      0.0180          No
-------------------------------------------------------------------------------------
