Function F10 - HCLPSO-DC (D=10)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               6.369808e+02         1636.980822         100000         0.0260          No
2                 9.9298e+02           1992.9781         100000         0.0330          No
3                 9.7835e+02           1978.3475         100000         0.0320          No
4                 8.6048e+02           1860.4804         100000         0.0280          No
5                 9.5438e+02           1954.3787         100000         0.0290          No
6                 9.4985e+02           1949.8482         100000         0.0290          No
7                 7.6709e+02           1767.0885         100000         0.0250          No
8                 8.7493e+02           1874.9267         100000         0.0320          No
9                 4.4175e+02           1441.7490         100000         0.0320          No
10                7.3694e+02           1736.9363         100000         0.0300          No
11                5.3348e+02           1533.4775         100000         0.0310          No
12                9.9011e+02           1990.1115         100000         0.0260          No
13                6.3142e+02           1631.4205         100000         0.0310          No
14                6.7792e+02           1677.9161         100000         0.0310          No
15                7.1083e+02           1710.8342         100000         0.0310          No
16                4.9557e+02           1495.5723         100000         0.0290          No
17                8.8320e+02           1883.1962         100000         0.0320          No
18                4.3742e+02           1437.4157         100000         0.0300          No
19                9.8689e+02           1986.8938         100000         0.0240          No
20                8.9899e+02           1898.9898         100000         0.0290          No
21                9.5256e+02           1952.5593         100000         0.0270          No
22                7.7249e+02           1772.4919         100000         0.0320          No
23                4.4792e+02           1447.9190         100000         0.0270          No
24                6.3693e+02           1636.9279         100000         0.0280          No
25                6.0697e+02           1606.9685         100000         0.0270          No
26                7.8832e+02           1788.3197         100000         0.0300          No
27                8.6786e+02           1867.8605         100000         0.0310          No
28                6.7331e+02           1673.3116         100000         0.0320          No
29                9.5712e+02           1957.1217         100000         0.0290          No
30                4.3411e+02           1434.1097         100000         0.0290          No
31                6.7540e+02           1675.3967         100000         0.0280          No
32                6.7816e+02           1678.1607         100000         0.0290          No
33                8.0220e+02           1802.1988         100000         0.0270          No
34                6.6022e+02           1660.2212         100000         0.0290          No
35                5.5108e+02           1551.0799         100000         0.0290          No
36                5.5397e+02           1553.9722         100000         0.0330          No
37                1.1149e+03           2114.9214         100000         0.0290          No
38                6.1273e+02           1612.7282         100000         0.0320          No
39                8.0524e+02           1805.2442         100000         0.0280          No
40                9.1206e+02           1912.0555         100000         0.0310          No
41                8.0279e+02           1802.7933         100000         0.0330          No
42                1.0233e+03           2023.2820         100000         0.0320          No
43                5.0620e+02           1506.2002         100000         0.0270          No
44                7.4359e+02           1743.5893         100000         0.0290          No
45                9.7474e+02           1974.7401         100000         0.0310          No
46                6.6034e+02           1660.3383         100000         0.0310          No
47                5.8567e+02           1585.6689         100000         0.0320          No
48                1.0647e+03           2064.6531         100000         0.0290          No
49                6.8219e+02           1682.1919         100000         0.0300          No
50                1.1313e+03           2131.2582         100000         0.0320          No
51                7.0713e+02           1707.1258         100000         0.0270          No
----------------------------------------------------------------------------------------------------
