Function F20 - HCLPSO-DC (D=10)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               2.397992e+01         2023.979925          49640         0.0210         Yes
2                 2.0312e+01           2020.3122          47560         0.0170         Yes
3                 2.9033e+01           2029.0334          35920         0.0120         Yes
4                 2.4292e+01           2024.2922          41160         0.0140         Yes
5                 2.0312e+01           2020.3122          18200         0.0060         Yes
6                 3.5044e+01           2035.0443          24160         0.0080         Yes
7                 2.1863e+01           2021.8629          41600         0.0150         Yes
8                 3.8029e+01           2038.0292          33600         0.0130         Yes
9                 2.5291e+01           2025.2908          24560         0.0090         Yes
10                6.8925e+01           2068.9253          32440         0.0120         Yes
11                2.5288e+01           2025.2885          24880         0.0090         Yes
12                3.3247e+01           2033.2469          25200         0.0090         Yes
13                3.7754e+01           2037.7539          27360         0.0140         Yes
14                3.0262e+01           2030.2618          25840         0.0100         Yes
15                2.5288e+01           2025.2875          36400         0.0130         Yes
16                2.3985e+01           2023.9852          16320         0.0050         Yes
17                2.4318e+01           2024.3185          27200         0.0100         Yes
18                2.5300e+01           2025.2999          18400         0.0070         Yes
19                2.0995e+01           2020.9951          23040         0.0080         Yes
20                2.5599e+01           2025.5991          30720         0.0110         Yes
21                2.1307e+01           2021.3071          26480         0.0090         Yes
22                2.4975e+01           2024.9749          41440         0.0150         Yes
23                2.2614e+01           2022.6143          15720         0.0050         Yes
24                1.3560e+01           2013.5596          34600         0.0120         Yes
25                2.0624e+01           2020.6244          23440         0.0080         Yes
26                2.5307e+01           2025.3065          29840         0.0110         Yes
27                4.0556e+01           2040.5558          20640         0.0070         Yes
28                2.4975e+01           2024.9748          26200         0.0090         Yes
29                3.4788e+01           2034.7875          18360         0.0060         Yes
30                2.1619e+01           2021.6193          32000         0.0110         Yes
31                2.2634e+01           2022.6338          42520         0.0150         Yes
32                4.0240e+01           2040.2397          30360         0.0110         Yes
33                2.9344e+01           2029.3438          34720         0.0120         Yes
34                2.5599e+01           2025.5990          34600         0.0120         Yes
35                2.1990e+01           2021.9899          15720         0.0050         Yes
36                5.6002e+00           2005.6002          24920         0.0090         Yes
37                2.5599e+01           2025.5994          23720         0.0080         Yes
38                2.2301e+01           2022.3008          37680         0.0130         Yes
39                3.7774e+01           2037.7738          15880         0.0050         Yes
40                2.2614e+01           2022.6143          21920         0.0080         Yes
41                2.4292e+01           2024.2920           3640         0.0010         Yes
42                2.5289e+01           2025.2892          24320         0.0080         Yes
43                2.6143e+00           2002.6143          16040         0.0050         Yes
44                4.2920e+00           2004.2920          21000         0.0070         Yes
45                3.6989e+01           2036.9891          34440         0.0120         Yes
46                2.0000e+01           2020.0000          20480         0.0070         Yes
47                3.3366e+01           2033.3664          30840         0.0110         Yes
48                2.2641e+01           2022.6407          13160         0.0040         Yes
49                2.0995e+01           2020.9950          32400         0.0110         Yes
50                2.1743e+01           2021.7427           8200         0.0030         Yes
51                2.1619e+01           2021.6193          31080         0.0110         Yes
----------------------------------------------------------------------------------------------------
