Function F27 - HCLPSO-OC (D=10)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               3.908519e+02         3090.851909         100000         0.0720          No
2                 3.9176e+02           3091.7619         100000         0.0730          No
3                 3.9501e+02           3095.0099         100000         0.0690          No
4                 3.9176e+02           3091.7615         100000         0.0780          No
5                 3.9379e+02           3093.7884         100000         0.0730          No
6                 3.9660e+02           3096.5954         100000         0.0670          No
7                 3.9376e+02           3093.7622         100000         0.0720          No
8                 3.9810e+02           3098.1002         100000         0.0650          No
9                 4.0482e+02           3104.8174         100000         0.0690          No
10                3.9497e+02           3094.9693         100000         0.0720          No
11                3.9376e+02           3093.7622         100000         0.0690          No
12                3.8931e+02           3089.3119         100000         0.0750          No
13                3.9039e+02           3090.3934         100000         0.0710          No
14                3.9146e+02           3091.4595         100000         0.0670          No
15                3.9380e+02           3093.7981         100000         0.0660          No
16                3.9176e+02           3091.7614         100000         0.0700          No
17                3.9176e+02           3091.7616         100000         0.0710          No
18                3.9023e+02           3090.2318         100000         0.0690          No
19                3.8965e+02           3089.6531         100000         0.0720          No
20                3.9176e+02           3091.7615         100000         0.0710          No
21                3.9565e+02           3095.6531         100000         0.0700          No
22                3.9722e+02           3097.2166         100000         0.0720          No
23                3.9535e+02           3095.3470         100000         0.0710          No
24                3.9301e+02           3093.0053         100000         0.1040          No
25                3.9109e+02           3091.0882         100000         0.0750          No
26                3.9566e+02           3095.6556         100000         0.0770          No
27                3.9857e+02           3098.5691         100000         0.0800          No
28                3.9341e+02           3093.4088         100000         0.0800          No
29                3.9575e+02           3095.7472         100000         0.0740          No
30                3.9976e+02           3099.7638         100000         0.0690          No
31                3.9109e+02           3091.0882         100000         0.0760          No
32                3.9006e+02           3090.0632         100000         0.0740          No
33                3.9567e+02           3095.6704         100000         0.0680          No
34                3.9232e+02           3092.3152         100000         0.0680          No
35                3.9176e+02           3091.7617         100000         0.0730          No
36                3.9096e+02           3090.9639         100000         0.0690          No
37                3.9176e+02           3091.7616         100000         0.0700          No
38                3.9722e+02           3097.2166         100000         0.0690          No
39                3.9380e+02           3093.7981         100000         0.0680          No
40                3.9587e+02           3095.8665         100000         0.0700          No
41                3.9365e+02           3093.6473         100000         0.0690          No
42                4.0077e+02           3100.7693         100000         0.0660          No
43                3.9301e+02           3093.0053         100000         0.0720          No
44                3.9857e+02           3098.5686         100000         0.0730          No
45                3.9857e+02           3098.5691         100000         0.0710          No
46                3.9133e+02           3091.3312         100000         0.0710          No
47                3.9176e+02           3091.7615         100000         0.0720          No
48                3.9170e+02           3091.7017         100000         0.0730          No
49                3.9575e+02           3095.7472         100000         0.0740          No
50                3.9348e+02           3093.4787         100000         0.0740          No
51                3.9566e+02           3095.6584         100000         0.0640          No
----------------------------------------------------------------------------------------------------
