
========================================================================================================================
F6 - HCLPSO-OC (D=10)
========================================================================================================================

Run                  Error           Fitness           CFEs     CTs (s)   Converged
-------------------------------------------------------------------------------------
1             2.700062e-10        600.000000           7120      0.0030         Yes
2               4.7222e-08          600.0000           8280      0.0030         Yes
3               1.8926e-08          600.0000           7520      0.0030         Yes
4               1.0469e-08          600.0000           5720      0.0020         Yes
5               3.1582e-10          600.0000           8040      0.0030         Yes
6               6.5517e-09          600.0000           3920      0.0010         Yes
7               1.8248e-08          600.0000           2840      0.0010         Yes
8               3.2734e-08          600.0000           7960      0.0030         Yes
9               1.3324e-09          600.0000           5400      0.0020         Yes
10              2.5310e-06          600.0000           5760      0.0020         Yes
11              3.6888e-07          600.0000           8760      0.0030         Yes
12              1.1094e-08          600.0000           6720      0.0020         Yes
13              5.0768e-09          600.0000           6600      0.0020         Yes
14              2.2760e-10          600.0000           5800      0.0020         Yes
15              1.3566e-07          600.0000          10960      0.0040         Yes
16              1.8485e-07          600.0000           9000      0.0030         Yes
17              1.1744e-08          600.0000           7640      0.0030         Yes
18              3.6720e-07          600.0000           4320      0.0010         Yes
19              3.0150e-08          600.0000           8520      0.0030         Yes
20              6.4394e-08          600.0000           6240      0.0020         Yes
21              4.3394e-07          600.0000           1000      0.0000         Yes
22              3.7323e-05          600.0000           5240      0.0020         Yes
23              1.0203e-07          600.0000           3760      0.0010         Yes
24              5.6857e-06          600.0000           6280      0.0020         Yes
25              5.4295e-08          600.0000           4400      0.0010         Yes
26              1.3201e-08          600.0000           5520      0.0020         Yes
27              1.0252e-07          600.0000           4800      0.0070         Yes
28              1.4218e-06          600.0000           3040      0.0010         Yes
29              5.6940e-06          600.0000           2800      0.0010         Yes
30              2.0790e-09          600.0000           1800      0.0000         Yes
31              4.1634e-07          600.0000           2200      0.0000         Yes
32              9.0779e-10          600.0000           1080      0.0000         Yes
33              1.0054e-06          600.0000           1280      0.0000         Yes
34              1.4123e-08          600.0000           1840      0.0000         Yes
35              1.2207e-05          600.0000           7160      0.0030         Yes
36              7.5368e-08          600.0000           3200      0.0010         Yes
37              1.1853e-05          600.0000           8640      0.0030         Yes
38              2.5853e-08          600.0000           6920      0.0020         Yes
39              2.9929e-08          600.0000           6600      0.0020         Yes
40              1.6336e-07          600.0000           8200      0.0030         Yes
41              1.1336e-05          600.0000           1120      0.0000         Yes
42              1.1473e-05          600.0000           8840      0.0030         Yes
43              2.1941e-07          600.0000          10000      0.0040         Yes
44              2.2279e-08          600.0000           1960      0.0000         Yes
45              2.1998e-07          600.0000           6400      0.0020         Yes
46              1.0680e-04          600.0001           8200      0.0030         Yes
47              1.2515e-05          600.0000           9480      0.0030         Yes
48              1.4291e-06          600.0000           5600      0.0020         Yes
49              2.9149e-10          600.0000           8000      0.0030         Yes
50              5.8577e-07          600.0000           8240      0.0030         Yes
51              1.5814e-07          600.0000           6880      0.0020         Yes
-------------------------------------------------------------------------------------
