
========================================================================================================================
F4 - HCLPSO-DC (D=10)
========================================================================================================================

Run                  Error           Fitness           CFEs     CTs (s)   Converged
-------------------------------------------------------------------------------------
1             5.475623e-01        400.547562          13520      0.0010         Yes
2               6.8657e-01          400.6866          10520      0.0010         Yes
3               8.0562e-01          400.8056          17320      0.0010         Yes
4               1.1119e+01          411.1186          11160      0.0010         Yes
5               1.0601e+00          401.0601          23360      0.0020         Yes
6               5.2142e-01          400.5214          12000      0.0010         Yes
7               5.0216e-01          400.5022          11480      0.0010         Yes
8               6.9635e-01          400.6963          12400      0.0010         Yes
9               5.0673e-01          400.5067          10640      0.0010         Yes
10              8.2129e-01          400.8213          14240      0.0010         Yes
11              5.6193e-01          400.5619          11680      0.0010         Yes
12              5.0012e-01          400.5001          11800      0.0010         Yes
13              7.3358e-01          400.7336          11080      0.0010         Yes
14              6.4140e-01          400.6414          13200      0.0010         Yes
15              6.2647e+01          462.6466         100000      0.0120          No
16              1.1989e+00          401.1989           9840      0.0010         Yes
17              2.8280e+00          402.8280          17480      0.0010         Yes
18              5.0146e-01          400.5015          12680      0.0010         Yes
19              4.8820e-01          400.4882           9480      0.0010         Yes
20              7.6651e-01          400.7665           8520      0.0010         Yes
21              8.5292e-01          400.8529          17600      0.0020         Yes
22              6.9197e-01          400.6920          10240      0.0010         Yes
23              5.4928e-01          400.5493          11400      0.0010         Yes
24              1.3085e+00          401.3085          15600      0.0010         Yes
25              5.6513e-01          400.5651          12480      0.0010         Yes
26              5.5621e+01          455.6208         100000      0.0120          No
27              6.0388e-01          400.6039          14160      0.0010         Yes
28              7.6170e-01          400.7617          11720      0.0010         Yes
29              6.5881e-01          400.6588          10520      0.0010         Yes
30              6.1306e-01          400.6131          11120      0.0010         Yes
31              7.8271e-01          400.7827          13800      0.0010         Yes
32              5.6833e-01          400.5683          11880      0.0010         Yes
33              8.9051e-01          400.8905          12640      0.0010         Yes
34              6.7049e-01          400.6705          11760      0.0010         Yes
35              5.5621e+01          455.6208         100000      0.0120          No
36              3.3739e+00          403.3739          14440      0.0010         Yes
37              7.1519e-01          400.7152          11720      0.0010         Yes
38              5.7725e-01          400.5773           8600      0.0000         Yes
39              4.9271e-01          400.4927          11320      0.0010         Yes
40              1.0946e+00          401.0946          14840      0.0010         Yes
41              8.0697e-01          400.8070          11640      0.0010         Yes
42              5.6586e-01          400.5659          14320      0.0010         Yes
43              5.7920e-01          400.5792          10560      0.0010         Yes
44              5.1220e-01          400.5122           8760      0.0010         Yes
45              5.8264e-01          400.5826          10560      0.0010         Yes
46              8.3034e+00          408.3034          21680      0.0020         Yes
47              7.1128e-01          400.7113          12080      0.0010         Yes
48              6.4700e-01          400.6470          13880      0.0010         Yes
49              6.0749e-01          400.6075          12480      0.0010         Yes
50              8.7883e-01          400.8788          15120      0.0010         Yes
51              6.7571e-01          400.6757          19760      0.0020         Yes
-------------------------------------------------------------------------------------
