
========================================================================================================================
HCLPSO-DC Accuracy Results (D=10, Runs=51, εtol=5.000000%)
========================================================================================================================

Function                Mean               Std            Median              Best             Worst
------------------------------------------------------------------------------------------------------------------------
F1                1.3842e+06        9.7119e+06        1.2518e+04        2.4875e+03        7.0058e+07
F3                1.0198e-12        8.6774e-13        7.9581e-13        1.1369e-13        4.6612e-12
F4                4.5101e+00        1.3510e+01        6.8657e-01        4.8820e-01        6.2647e+01
F5                1.9214e+01        6.1251e+00        1.8819e+01        4.9748e+00        3.1839e+01
F6                2.9363e-02        1.7581e-01        1.4464e-06        8.9731e-08        1.2486e+00
F7                2.4130e+01        9.5000e+00        2.3510e+01        1.0526e+01        7.5150e+01
F8                1.9670e+01        8.7733e+00        1.9899e+01        3.9798e+00        4.9842e+01
F9                1.7555e-03        1.2413e-02        1.1369e-13        0.0000e+00        8.9528e-02
F10               7.8192e+02        2.1215e+02        7.5920e+02        3.5408e+02        1.4004e+03
F11               8.1182e+00        2.0720e+01        3.0502e+00        1.0922e-01        1.1549e+02
F12               6.3130e+04        1.3370e+05        5.3816e+04        3.1922e+03        9.9743e+05
F13               1.3125e+03        8.4922e+02        1.0562e+03        1.3103e+02        4.9485e+03
F14               8.9287e+02        8.7001e+02        4.4251e+02        6.3632e+01        2.8329e+03
F15               4.2065e+03        5.6694e+03        2.4792e+03        1.0310e+02        2.8322e+04
F16               4.0463e+01        4.6501e+01        1.7164e+01        1.4028e+00        1.9403e+02
F17               4.3275e+01        2.4405e+01        3.8051e+01        1.0427e+01        1.4425e+02
F18               6.8792e+03        4.7598e+03        4.9824e+03        7.2115e+02        2.7268e+04
F19               3.7050e+02        2.5969e+02        3.0547e+02        1.8601e+01        7.7694e+02
F20               2.9406e+01        2.2923e+01        2.5284e+01        6.2436e-01        1.6406e+02
F21               1.0327e+02        6.9591e-01        1.0308e+02        1.0222e+02        1.0592e+02
F22               1.0102e+02        5.6332e-01        1.0099e+02        1.0000e+02        1.0358e+02
F23               3.1804e+02        4.6069e+00        3.1684e+02        3.1060e+02        3.3394e+02
F24               3.5808e+02        6.7337e+00        3.5853e+02        3.4136e+02        3.7106e+02
F25               4.1403e+02        2.2109e+01        3.9865e+02        3.9805e+02        4.5065e+02
F26               9.3042e+02        4.5499e+02        1.2498e+03        3.7574e+02        1.4335e+03
F27               3.9525e+02        3.1810e+00        3.9575e+02        3.8965e+02        3.9968e+02
F28               5.2937e+02        9.5547e+01        5.8375e+02        3.4124e+02        7.8262e+02
F29               2.6443e+02        2.3686e+01        2.5855e+02        2.3325e+02        3.3192e+02
F30               2.4204e+05        3.7068e+05        1.2867e+04        1.5999e+03        1.2771e+06
========================================================================================================================
