
========================================================================================================================
F11 - HCLPSO-DC (D=10)
========================================================================================================================

Run                  Error           Fitness           CFEs     CTs (s)   Converged
-------------------------------------------------------------------------------------
1             6.035157e+00       1106.035157          16280      0.0020         Yes
2               7.5897e+00         1107.5897          16600      0.0020         Yes
3               5.6971e+00         1105.6971          16560      0.0020         Yes
4               5.6957e+00         1105.6957          19840      0.0030         Yes
5               1.0131e+02         1201.3077         100000      0.0160          No
6               1.0056e+01         1110.0555          15080      0.0020         Yes
7               3.0363e+00         1103.0363          18640      0.0030         Yes
8               3.0507e+00         1103.0507          18480      0.0020         Yes
9               3.0465e+00         1103.0465          13080      0.0020         Yes
10              2.1090e+00         1102.1090          17960      0.0020         Yes
11              5.0654e+00         1105.0654          16200      0.0020         Yes
12              2.0571e+00         1102.0571          16520      0.0020         Yes
13              1.2320e+00         1101.2320          21280      0.0030         Yes
14              1.0889e+00         1101.0889          16400      0.0020         Yes
15              1.0872e+00         1101.0872          16040      0.0020         Yes
16              7.4498e+00         1107.4498          17720      0.0020         Yes
17              2.1203e+00         1102.1203          16240      0.0020         Yes
18              2.2757e+00         1102.2757          21960      0.0030         Yes
19              1.0922e-01         1100.1092          27160      0.0040         Yes
20              1.2563e+00         1101.2563          17400      0.0020         Yes
21              1.1162e+00         1101.1162          17960      0.0020         Yes
22              7.0288e+00         1107.0288          19960      0.0030         Yes
23              1.1538e+00         1101.1538          15920      0.0020         Yes
24              2.0729e+00         1102.0729          16520      0.0020         Yes
25              3.0307e+00         1103.0307          20360      0.0030         Yes
26              2.1798e+00         1102.1798          14320      0.0020         Yes
27              3.1049e+00         1103.1049          18000      0.0020         Yes
28              4.2325e+00         1104.2325          67280      0.0100         Yes
29              1.1549e+02         1215.4893         100000      0.0170          No
30              1.0473e+00         1101.0473          17200      0.0020         Yes
31              3.0502e+00         1103.0502          18720      0.0030         Yes
32              4.0392e+00         1104.0392          16000      0.0020         Yes
33              5.8188e-01         1100.5819          19560      0.0030         Yes
34              1.0740e+00         1101.0740          15920      0.0020         Yes
35              5.0466e+00         1105.0466          14720      0.0020         Yes
36              1.1039e+01         1111.0394          16280      0.0020         Yes
37              2.0809e+00         1102.0809          17840      0.0020         Yes
38              3.0625e+00         1103.0625          17200      0.0020         Yes
39              2.7074e+01         1127.0744          19120      0.0020         Yes
40              2.1015e+00         1102.1015          32160      0.0050         Yes
41              2.0976e+00         1102.0976          17520      0.0020         Yes
42              4.1445e+00         1104.1445          17600      0.0020         Yes
43              4.0512e+00         1104.0512          64240      0.0100         Yes
44              4.3686e+00         1104.3686          15720      0.0020         Yes
45              3.0688e+00         1103.0688          20800      0.0030         Yes
46              3.0435e+00         1103.0435          29000      0.0040         Yes
47              7.0391e+00         1107.0391          30600      0.0040         Yes
48              1.0564e+00         1101.0564          15640      0.0020         Yes
49              1.0496e+00         1101.0496          17000      0.0020         Yes
50              1.0045e+01         1110.0446          15760      0.0020         Yes
51              3.0936e+00         1103.0936          19200      0.0030         Yes
-------------------------------------------------------------------------------------
