
============================================================================================================================================
TABLE: CONVERGENCE SPEED - HCLPSO-DC (D=10)
Population: N=40 | Runs: 51 | MaxFE: 100000 | εtol: 5.00%
============================================================================================================================================
Function             Mean CFEs          Std CFEs      Success Rate      Mean CTs (s)       Std CTs (s)
--------------------------------------------------------------------------------------------------------------------------------------------
F1                      100000                 0               0.0%            0.0112            0.0012
F3                       62240              2347             100.0%            0.0079            0.0037
F4                       24621             28064              88.2%            0.0026            0.0037
F5                       59178             23759              82.4%            0.0107            0.0048
F6                        6378              3425             100.0%            0.0021            0.0015
F7                       46955             19578              92.2%            0.0096            0.0054
F8                       28187             10116             100.0%            0.0050            0.0020
F9                       22145              3003             100.0%            0.0057            0.0061
F10                     100000                 0               0.0%            0.0296            0.0022
F11                      18711              4537             100.0%            0.0026            0.0009
F12                     100000                 0               0.0%            0.0209            0.0044
F13                     100000                 0               0.0%            0.0194            0.0008
F14                      94657             16056              15.7%            0.0211            0.0038
F15                      99738              1852               2.0%            0.0157            0.0017
F16                      37478             24868              90.2%            0.0073            0.0051
F17                      19038              6342             100.0%            0.0064            0.0022
F18                     100000                 0               0.0%            0.0172            0.0010
F19                      83662             17912              54.9%            0.1427            0.0319
F20                      27266              9546             100.0%            0.0097            0.0038
F21                      46198             16521              94.1%            0.0166            0.0062
F22                      20116              1655             100.0%            0.0132            0.0013
F23                     100000                 0               0.0%            0.0612            0.0035
F24                     100000                 0               0.0%            0.0599            0.0019
F25                     100000                 0               0.0%            0.0533            0.0020
F26                     100000                 0               0.0%            0.0780            0.0069
F27                     100000                 0               0.0%            0.0654            0.0072
F28                     100000                 0               0.0%            0.0639            0.0036
F29                     100000                 0               0.0%            0.0640            0.0047
F30                     100000                 0               0.0%            0.1777            0.0112
--------------------------------------------------------------------------------------------------------------------------------------------
============================================================================================================================================
