Function F9 - HCLPSO-DC (D=10)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               2.273737e-13          900.000000          21560         0.0040         Yes
2                 1.1369e-13            900.0000          22440         0.0040         Yes
3                 1.1369e-13            900.0000          20800         0.0040         Yes
4                 1.1369e-13            900.0000          23920         0.0050         Yes
5                 1.1369e-13            900.0000          24680         0.0110         Yes
6                 2.2737e-13            900.0000          17320         0.0040         Yes
7                 1.1369e-13            900.0000          21720         0.0040         Yes
8                 0.0000e+00            900.0000          20320         0.0050         Yes
9                 0.0000e+00            900.0000          19240         0.0040         Yes
10                1.1369e-13            900.0000          17000         0.0470         Yes
11                1.1369e-13            900.0000          19640         0.0040         Yes
12                1.1369e-13            900.0000          22320         0.0050         Yes
13                2.2737e-13            900.0000          24360         0.0070         Yes
14                4.5475e-13            900.0000          22240         0.0060         Yes
15                1.1369e-13            900.0000          24960         0.0070         Yes
16                1.1369e-13            900.0000          15920         0.0040         Yes
17                1.1369e-13            900.0000          23760         0.0050         Yes
18                3.4106e-13            900.0000          18840         0.0040         Yes
19                1.1369e-13            900.0000          25960         0.0060         Yes
20                3.4106e-13            900.0000          19480         0.0040         Yes
21                1.1369e-13            900.0000          17560         0.0050         Yes
22                1.1369e-13            900.0000          22880         0.0130         Yes
23                2.2737e-13            900.0000          17960         0.0070         Yes
24                1.1369e-13            900.0000          21800         0.0040         Yes
25                1.1369e-13            900.0000          23760         0.0060         Yes
26                2.2737e-13            900.0000          21080         0.0040         Yes
27                1.1369e-13            900.0000          27840         0.0050         Yes
28                1.1369e-13            900.0000          22960         0.0040         Yes
29                1.1369e-13            900.0000          23080         0.0050         Yes
30                1.1369e-13            900.0000          20840         0.0040         Yes
31                1.1369e-13            900.0000          19840         0.0040         Yes
32                0.0000e+00            900.0000          28040         0.0060         Yes
33                2.2737e-13            900.0000          24320         0.0050         Yes
34                2.2737e-13            900.0000          20720         0.0040         Yes
35                1.1369e-13            900.0000          20360         0.0040         Yes
36                2.2737e-13            900.0000          17400         0.0030         Yes
37                1.1369e-13            900.0000          25840         0.0050         Yes
38                1.1369e-13            900.0000          25480         0.0050         Yes
39                2.2737e-13            900.0000          28320         0.0050         Yes
40                5.6843e-13            900.0000          27360         0.0050         Yes
41                2.2737e-13            900.0000          25480         0.0050         Yes
42                1.1369e-13            900.0000          18080         0.0030         Yes
43                2.2737e-13            900.0000          22640         0.0040         Yes
44                1.1369e-13            900.0000          22200         0.0040         Yes
45                1.1369e-13            900.0000          21760         0.0040         Yes
46                3.4106e-13            900.0000          25960         0.0050         Yes
47                1.1369e-13            900.0000          20000         0.0040         Yes
48                1.1369e-13            900.0000          22040         0.0040         Yes
49                2.2737e-13            900.0000          24040         0.0050         Yes
50                1.1369e-13            900.0000          22280         0.0040         Yes
51                5.6843e-13            900.0000          21000         0.0040         Yes
----------------------------------------------------------------------------------------------------
