Function F5 - HCLPSO-DC (D=30)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               1.346016e+02          634.601558         300000         0.1980          No
2                 5.2733e+01            552.7328         136000         0.1310         Yes
3                 2.0724e+02            707.2368         300000         0.2020          No
4                 1.7982e+02            679.8237         300000         0.2000          No
5                 1.6088e+02            660.8824         300000         0.2000          No
6                 1.0077e+02            600.7713         300000         0.1950          No
7                 1.6822e+02            668.2237         300000         0.2010          No
8                 1.5016e+02            650.1630         300000         0.1950          No
9                 1.3525e+02            635.2534         300000         0.1970          No
10                1.6096e+02            660.9575         300000         0.1960          No
11                7.1518e+01            571.5179         107560         0.0700         Yes
12                1.1192e+02            611.9234         300000         0.1950          No
13                1.1124e+02            611.2362         300000         0.1930          No
14                9.7046e+01            597.0458         140960         0.0910         Yes
15                1.1746e+02            617.4585         300000         0.1960          No
16                1.7852e+02            678.5192         300000         0.1970          No
17                1.0123e+02            601.2316         300000         0.1950          No
18                1.2455e+02            624.5518         300000         0.1970          No
19                1.7843e+02            678.4343         300000         0.2000          No
20                1.5451e+02            654.5145         300000         0.1990          No
21                8.9823e+01            589.8233         132760         0.0860         Yes
22                2.6770e+02            767.7009         300000         0.2020          No
23                1.6627e+02            666.2687         300000         0.1970          No
24                2.2215e+02            722.1460         300000         0.2020          No
25                1.5864e+02            658.6359         300000         0.1950          No
26                1.0094e+02            600.9390         300000         0.1980          No
27                1.1001e+02            610.0094         300000         0.1970          No
28                1.7210e+02            672.1036         300000         0.2010          No
29                1.2649e+02            626.4928         300000         0.1980          No
30                1.7820e+02            678.1993         300000         0.2030          No
31                1.5975e+02            659.7535         300000         0.1990          No
32                1.3620e+02            636.1980         300000         0.1950          No
33                1.1043e+02            610.4335         300000         0.1980          No
34                1.1192e+02            611.9243         300000         0.1930          No
35                1.2674e+02            626.7369         300000         0.1940          No
36                1.3959e+02            639.5873         300000         0.1950          No
37                6.5534e+01            565.5337         123240         0.0800         Yes
38                2.3542e+02            735.4155         300000         0.2010          No
39                8.3930e+01            583.9303         212800         0.1390         Yes
40                1.1633e+02            616.3279         300000         0.1970          No
41                1.2854e+02            628.5356         300000         0.2010          No
42                1.7547e+02            675.4729         300000         0.1980          No
43                9.0244e+01            590.2443         198960         0.1290         Yes
44                1.1629e+02            616.2869         300000         0.1960          No
45                8.5342e+01            585.3425         139360         0.0900         Yes
46                1.2562e+02            625.6184         300000         0.1940          No
47                1.5046e+02            650.4647         300000         0.2000          No
48                1.2957e+02            629.5745         300000         0.1950          No
49                1.3349e+02            633.4858         300000         0.1980          No
50                6.5519e+01            565.5194         165400         0.1070         Yes
51                1.1673e+02            616.7265         300000         0.1970          No
----------------------------------------------------------------------------------------------------
