Function F29 - HCLPSO-OC (D=30)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               8.140508e+02         3714.050819         300000         0.6550          No
2                 8.9329e+02           3793.2869         300000         0.6610          No
3                 6.0968e+02           3509.6780         300000         0.7510          No
4                 7.8629e+02           3686.2937         300000         0.6830          No
5                 1.1368e+03           4036.8450         300000         0.6680          No
6                 8.5711e+02           3757.1080         300000         0.7120          No
7                 1.0940e+03           3993.9811         300000         0.6560          No
8                 8.1018e+02           3710.1764         300000         0.6680          No
9                 5.5243e+02           3452.4327         167000         0.3820         Yes
10                1.3704e+03           4270.3713         300000         0.6660          No
11                1.1314e+03           4031.3951         300000         0.6600          No
12                1.1483e+03           4048.2671         300000         0.6590          No
13                1.1569e+03           4056.8658         300000         0.6850          No
14                1.6569e+03           4556.9065         300000         0.7020          No
15                5.7229e+02           3472.2857         209400         0.4890         Yes
16                8.7870e+02           3778.7021         300000         0.6590          No
17                1.2102e+03           4110.2395         300000         0.6870          No
18                8.2894e+02           3728.9358         300000         0.6600          No
19                8.1611e+02           3716.1080         300000         0.6720          No
20                5.6944e+02           3469.4411         128880         0.2800         Yes
21                9.2494e+02           3824.9351         300000         0.6800          No
22                1.1646e+03           4064.5617         300000         0.6530          No
23                1.2987e+03           4198.7231         300000         0.6770          No
24                1.4347e+03           4334.7213         300000         0.6730          No
25                1.2545e+03           4154.5259         300000         0.6580          No
26                1.2084e+03           4108.3744         300000         0.6360          No
27                9.6288e+02           3862.8772         300000         0.6380          No
28                6.7914e+02           3579.1393         300000         0.6570          No
29                7.5193e+02           3651.9336         300000         0.6800          No
30                9.7178e+02           3871.7761         300000         0.6760          No
31                1.4905e+03           4390.5044         300000         0.6600          No
32                1.5966e+03           4496.6072         300000         0.6560          No
33                1.1678e+03           4067.7564         300000         0.7030          No
34                9.8713e+02           3887.1317         300000         0.6930          No
35                9.0972e+02           3809.7164         300000         0.6670          No
36                1.2075e+03           4107.4801         300000         0.6750          No
37                9.0213e+02           3802.1343         300000         0.6980          No
38                9.7480e+02           3874.8023         300000         0.6530          No
39                5.9347e+02           3493.4723         300000         0.6510          No
40                1.1541e+03           4054.1212         300000         0.6790          No
41                1.0274e+03           3927.3742         300000         0.6520          No
42                6.2780e+02           3527.7972         300000         0.6930          No
43                1.0964e+03           3996.4132         300000         0.6620          No
44                9.8813e+02           3888.1318         300000         0.6570          No
45                9.3816e+02           3838.1567         300000         0.6780          No
46                9.3886e+02           3838.8557         300000         0.7030          No
47                9.3938e+02           3839.3760         300000         0.6820          No
48                1.2635e+03           4163.4569         300000         0.6710          No
49                7.8890e+02           3688.8964         300000         0.6870          No
50                1.0326e+03           3932.6148         300000         0.6710          No
51                1.3862e+03           4286.2115         300000         0.6530          No
----------------------------------------------------------------------------------------------------
