Function F8 - HCLPSO-DC (D=30)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               1.343726e+02          934.372611         191680         0.1290         Yes
2                 1.3962e+02            939.6195         153080         0.1090         Yes
3                 1.9701e+02            997.0089         300000         0.2060          No
4                 2.5918e+02           1059.1839         300000         0.2100          No
5                 1.7666e+02            976.6583         300000         0.2110          No
6                 1.2986e+02            929.8564         141440         0.0930         Yes
7                 2.0270e+02           1002.6979         300000         0.2040          No
8                 2.4726e+02           1047.2585         300000         0.2030          No
9                 1.6396e+02            963.9595         300000         0.2000          No
10                2.0976e+02           1009.7592         300000         0.2040          No
11                1.3858e+02            938.5767         130160         0.0850         Yes
12                1.3097e+02            930.9662         236400         0.1570         Yes
13                1.6297e+02            962.9702         300000         0.1970          No
14                1.3049e+02            930.4879         121640         0.0800         Yes
15                1.0263e+02            902.6343         112040         0.0730         Yes
16                1.5537e+02            955.3682         274360         0.1830         Yes
17                1.6452e+02            964.5225         300000         0.2000          No
18                1.5221e+02            952.2069         161240         0.1050         Yes
19                1.1956e+02            919.5578         192280         0.1250         Yes
20                1.2370e+02            923.7021         169560         0.1100         Yes
21                1.6906e+02            969.0600         300000         0.1990          No
22                9.3361e+01            893.3610         109560         0.0710         Yes
23                1.2559e+02            925.5883         176320         0.1140         Yes
24                1.5461e+02            954.6063         211200         0.1390         Yes
25                1.4041e+02            940.4091         149360         0.0970         Yes
26                1.2304e+02            923.0415          84400         0.0550         Yes
27                2.3789e+02           1037.8867         300000         0.2020          No
28                1.5990e+02            959.8985         252560         0.1680         Yes
29                1.4504e+02            945.0428         264280         0.1770         Yes
30                1.5635e+02            956.3505         279640         0.1880         Yes
31                9.0405e+01            890.4047         159200         0.1060         Yes
32                1.4579e+02            945.7887         184000         0.1200         Yes
33                1.2533e+02            925.3284         230000         0.1530         Yes
34                1.6409e+02            964.0903         300000         0.2010          No
35                1.3576e+02            935.7606         164200         0.1070         Yes
36                1.5741e+02            957.4105         262640         0.1760         Yes
37                1.3579e+02            935.7905         150160         0.0970         Yes
38                1.1667e+02            916.6665         150040         0.0980         Yes
39                1.8709e+02            987.0926         300000         0.1990          No
40                6.8836e+01            868.8365         155760         0.1010         Yes
41                1.2041e+02            920.4146         225680         0.1490         Yes
42                1.3809e+02            938.0924         164680         0.1070         Yes
43                1.3721e+02            937.2108         135320         0.0880         Yes
44                1.5597e+02            955.9693         280080         0.1880         Yes
45                2.0929e+02           1009.2919         300000         0.2020          No
46                1.0644e+02            906.4412         149960         0.1210         Yes
47                1.1551e+02            915.5141         111000         0.0730         Yes
48                1.3437e+02            934.3675         101840         0.0670         Yes
49                1.5873e+02            958.7257         197280         0.1290         Yes
50                8.0616e+01            880.6162         128360         0.0840         Yes
51                1.7887e+02            978.8703         300000         0.2000          No
----------------------------------------------------------------------------------------------------
