Function F25 - HCLPSO-OC (D=30)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               3.954204e+02         2895.420367          66640         0.1490         Yes
2                 3.8809e+02           2888.0854          47080         0.1050         Yes
3                 3.8875e+02           2888.7510          64920         0.1500         Yes
4                 3.8875e+02           2888.7536          56240         0.1330         Yes
5                 3.8883e+02           2888.8293          58440         0.1340         Yes
6                 3.9584e+02           2895.8402          50160         0.1300         Yes
7                 4.1743e+02           2917.4257          66680         0.1540         Yes
8                 3.8783e+02           2887.8292          60960         0.1360         Yes
9                 3.8872e+02           2888.7248          60360         0.1430         Yes
10                3.8753e+02           2887.5347          72680         0.1660         Yes
11                3.8682e+02           2886.8153          49680         0.1150         Yes
12                3.8837e+02           2888.3729          56120         0.1390         Yes
13                3.8803e+02           2888.0254          48280         0.1080         Yes
14                3.8871e+02           2888.7106          61320         0.1470         Yes
15                3.8802e+02           2888.0203          64320         0.1480         Yes
16                3.8867e+02           2888.6718          64720         0.1510         Yes
17                3.8785e+02           2887.8517          50440         0.1120         Yes
18                3.8753e+02           2887.5328          47360         0.1080         Yes
19                3.8888e+02           2888.8759          48120         0.1080         Yes
20                3.8740e+02           2887.3993          54880         0.1280         Yes
21                7.0088e+02           3200.8833         300000         0.6700          No
22                3.8774e+02           2887.7378          60320         0.1340         Yes
23                4.4259e+02           2942.5931          66680         0.1590         Yes
24                3.8751e+02           2887.5099          50120         0.1210         Yes
25                3.8876e+02           2888.7625          52560         0.1210         Yes
26                3.8771e+02           2887.7081          51440         0.1160         Yes
27                3.8864e+02           2888.6363          53080         0.1260         Yes
28                3.8857e+02           2888.5682          51200         0.1270         Yes
29                3.8878e+02           2888.7820          57120         0.1400         Yes
30                3.8874e+02           2888.7410          43440         0.1040         Yes
31                3.9540e+02           2895.4045          60000         0.1520         Yes
32                3.8865e+02           2888.6550          48960         0.1160         Yes
33                3.8797e+02           2887.9742          48080         0.1120         Yes
34                3.8895e+02           2888.9524          54600         0.1270         Yes
35                3.8687e+02           2886.8656          58120         0.1370         Yes
36                3.8868e+02           2888.6802          53320         0.1240         Yes
37                3.8886e+02           2888.8562          57840         0.1280         Yes
38                3.8863e+02           2888.6291          54960         0.1320         Yes
39                3.8853e+02           2888.5320          52240         0.1150         Yes
40                3.8830e+02           2888.3023          50720         0.1190         Yes
41                3.8799e+02           2887.9861          53000         0.1290         Yes
42                3.8886e+02           2888.8589          68160         0.1650         Yes
43                4.2120e+02           2921.2019          69280         0.1590         Yes
44                3.8713e+02           2887.1296          60480         0.1410         Yes
45                3.8894e+02           2888.9365          62560         0.1470         Yes
46                3.8867e+02           2888.6683          47120         0.1100         Yes
47                3.9529e+02           2895.2893          65640         0.1440         Yes
48                3.8871e+02           2888.7082          49640         0.1180         Yes
49                4.0908e+02           2909.0821          46960         0.1030         Yes
50                4.6986e+02           2969.8570          83400         0.1940         Yes
51                3.8890e+02           2888.9042          66880         0.1470         Yes
----------------------------------------------------------------------------------------------------
