
========================================================================================================================
F22 - HCLPSO-DC (D=30)
========================================================================================================================

Run                  Error           Fitness           CFEs     CTs (s)   Converged
-------------------------------------------------------------------------------------
1             1.000000e+02       2300.000000          57960      0.1400         Yes
2               1.0000e+02         2300.0000          67840      0.1630         Yes
3               1.0000e+02         2300.0000          65000      0.1510         Yes
4               5.4276e+03         7627.5538         300000      0.6830          No
5               4.6907e+02         2669.0675         300000      0.5670          No
6               1.0000e+02         2300.0000          53160      0.1250         Yes
7               1.0000e+02         2300.0000          57400      0.1370         Yes
8               1.0535e+02         2305.3509          57560      0.1340         Yes
9               4.8878e+03         7087.8393         300000      0.6570          No
10              1.0000e+02         2300.0000          54040      0.1270         Yes
11              2.5228e+02         2452.2767         105400      0.2300         Yes
12              1.0245e+02         2302.4534          58720      0.1380         Yes
13              4.9554e+03         7155.4388         300000      0.6360          No
14              1.0000e+02         2300.0000          57680      0.1350         Yes
15              1.0000e+02         2300.0000          55920      0.1310         Yes
16              1.0413e+02         2304.1294         117200      0.2470         Yes
17              1.0246e+02         2302.4598          58760      0.1400         Yes
18              1.0000e+02         2300.0000          50320      0.1190         Yes
19              4.8619e+03         7061.9269         300000      0.6970          No
20              1.0000e+02         2300.0000          72400      0.1660         Yes
21              1.0000e+02         2300.0000          53440      0.1270         Yes
22              1.0000e+02         2300.0000          62640      0.1470         Yes
23              1.0000e+02         2300.0000          58160      0.1360         Yes
24              1.0000e+02         2300.0000          58720      0.1380         Yes
25              1.0000e+02         2300.0000          62800      0.1460         Yes
26              1.0000e+02         2300.0000          54760      0.1300         Yes
27              1.0000e+02         2300.0000          48760      0.1150         Yes
28              1.0246e+02         2302.4598          66600      0.1550         Yes
29              1.0000e+02         2300.0000          50840      0.1200         Yes
30              1.0000e+02         2300.0000          67920      0.1580         Yes
31              4.1569e+02         2615.6936         107000      0.2400         Yes
32              1.0000e+02         2300.0000          50640      0.1200         Yes
33              3.9780e+03         6177.9923         300000      0.7050          No
34              1.0000e+02         2300.0000          53960      0.1290         Yes
35              1.0000e+02         2300.0000          58120      0.1370         Yes
36              1.0000e+02         2300.0000          56120      0.1330         Yes
37              2.1644e+02         2416.4364          59000      0.1380         Yes
38              1.0000e+02         2300.0000          55840      0.1300         Yes
39              1.0000e+02         2300.0000          57520      0.1340         Yes
40              1.0000e+02         2300.0000          96320      0.2130         Yes
41              2.5228e+02         2452.2767          60640      0.1430         Yes
42              1.0000e+02         2300.0000          64640      0.1510         Yes
43              2.6049e+02         2460.4897         144240      0.3220         Yes
44              1.0000e+02         2300.0000          64840      0.1500         Yes
45              1.0000e+02         2300.0000          62720      0.1470         Yes
46              4.5293e+03         6729.2871         300000      0.6650          No
47              1.0000e+02         2300.0000          61880      0.1460         Yes
48              1.0000e+02         2300.0000          53240      0.1250         Yes
49              1.0502e+02         2305.0203          54240      0.1270         Yes
50              1.0000e+02         2300.0000          59760      0.1400         Yes
51              1.0000e+02         2300.0000          63640      0.1510         Yes
-------------------------------------------------------------------------------------
