
============================================================================================================================================
TABLE: CONVERGENCE SPEED - HCLPSO-OC (D=30)
Population: N=40 | Runs: 51 | MaxFE: 300000 | εtol: 20.00%
============================================================================================================================================
Function             Mean CFEs          Std CFEs      Success Rate      Mean CTs (s)       Std CTs (s)
--------------------------------------------------------------------------------------------------------------------------------------------
F1                      300000                 0               0.0%            0.1459            0.0051
F3                      300000                 0               0.0%            0.1622            0.0160
F4                      300000                 0               0.0%            0.1713            0.0086
F5                      280652             49788              13.7%            0.2071            0.0365
F6                         217               165             100.0%            0.0000            0.0001
F7                      192861             63114              78.4%            0.1468            0.0511
F8                      214339             75971              72.5%            0.1607            0.0594
F9                      129325             47948              94.1%            0.0983            0.0382
F10                     300000                 0               0.0%            0.3502            0.0177
F11                     133489             58634              90.2%            0.0805            0.0370
F12                     300000                 0               0.0%            0.2008            0.0085
F13                     300000                 0               0.0%            0.1866            0.0091
F14                     300000                 0               0.0%            0.2576            0.0113
F15                     300000                 0               0.0%            0.1715            0.0073
F16                     300000                 0               0.0%            0.2281            0.0125
F17                     261548             67448              27.5%            0.3159            0.0818
F18                     300000                 0               0.0%            0.1916            0.0088
F19                     300000                 0               0.0%            1.6788            0.0264
F20                     199358             85283              64.7%            0.2557            0.1102
F21                      82570             31160             100.0%            0.1212            0.0459
F22                     205311            114611              41.2%            0.5035            0.2802
F23                     297075             17861               3.9%            0.7511            0.0469
F24                     300000                 0               0.0%            0.7222            0.0196
F25                      61712             34641              98.0%            0.1432            0.0768
F26                     300000                 0               0.0%            0.9791            0.0283
F27                     168689            130226              51.0%            0.5033            0.3768
F28                     236859             93761              37.3%            0.6829            0.2621
F29                     292260             31969               5.9%            0.6554            0.0738
F30                     300000                 0               0.0%            1.9026            0.0605
--------------------------------------------------------------------------------------------------------------------------------------------
============================================================================================================================================
