Function F17 - HCLPSO-OC (D=30)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               6.276535e+02         2327.653534         300000         0.3660          No
2                 3.4040e+02           2040.3976         300000         0.3540          No
3                 3.5435e+02           2054.3495         300000         0.3540          No
4                 4.7053e+02           2170.5289         300000         0.3560          No
5                 4.2636e+02           2126.3623         300000         0.3760          No
6                 1.6829e+02           1868.2934         193000         0.2330         Yes
7                 4.0506e+02           2105.0595         300000         0.3480          No
8                 2.5470e+02           1954.7037         118040         0.1430         Yes
9                 7.0554e+02           2405.5350         300000         0.3760          No
10                5.4329e+02           2243.2935         300000         0.3470          No
11                3.8157e+02           2081.5678         300000         0.3590          No
12                3.3943e+02           2039.4285         264120         0.3240         Yes
13                3.1430e+02           2014.2989         246480         0.3090         Yes
14                7.0207e+02           2402.0711         300000         0.3900          No
15                2.8634e+02           1986.3354         158120         0.1980         Yes
16                5.0979e+02           2209.7908         300000         0.3500          No
17                4.5743e+02           2157.4256         300000         0.3590          No
18                1.7870e+02           1878.7025         119840         0.1420         Yes
19                2.9587e+02           1995.8722          95840         0.1110         Yes
20                2.9070e+02           1990.7048         164240         0.1960         Yes
21                1.9918e+02           1899.1787         136640         0.1700         Yes
22                2.9185e+02           1991.8484         196600         0.2410         Yes
23                4.9418e+02           2194.1814         300000         0.3620          No
24                4.2714e+02           2127.1354         300000         0.3440          No
25                7.6270e+02           2462.7036         300000         0.3540          No
26                5.6782e+02           2267.8219         300000         0.3670          No
27                4.7840e+02           2178.3996         300000         0.3750          No
28                4.5040e+02           2150.4026         300000         0.3560          No
29                4.1449e+02           2114.4940         300000         0.3460          No
30                4.3230e+02           2132.2955         300000         0.3700          No
31                4.4684e+02           2146.8364         300000         0.3700          No
32                3.8026e+02           2080.2592         300000         0.3470          No
33                4.3490e+02           2134.8996         300000         0.3730          No
34                2.6602e+02           1966.0181         154640         0.1790         Yes
35                4.5854e+02           2158.5429         300000         0.3820          No
36                4.7715e+02           2177.1486         300000         0.3670          No
37                5.0710e+02           2207.0998         300000         0.3710          No
38                3.7109e+02           2071.0873         300000         0.3800          No
39                2.1116e+02           1911.1586         101920         0.1310         Yes
40                4.2968e+02           2129.6782         300000         0.3600          No
41                5.1667e+02           2216.6724         300000         0.3630          No
42                5.3320e+02           2233.2043         300000         0.3650          No
43                3.3256e+02           2032.5608         149760         0.1720         Yes
44                7.6758e+02           2467.5781         300000         0.3810          No
45                5.5580e+02           2255.7955         300000         0.3660          No
46                4.4479e+02           2144.7902         300000         0.3510          No
47                4.9168e+02           2191.6759         300000         0.3550          No
48                3.9860e+02           2098.5952         300000         0.3450          No
49                5.9009e+02           2290.0893         300000         0.3500          No
50                2.1487e+02           1914.8702         139720         0.1750         Yes
51                4.5724e+02           2157.2437         300000         0.3540          No
----------------------------------------------------------------------------------------------------
