Function F17 - HCLPSO-DC (D=30)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               5.547730e+02         2254.773014         300000         0.3330          No
2                 4.1349e+02           2113.4876         300000         0.3280          No
3                 1.8875e+02           1888.7456         113200         0.1250         Yes
4                 2.8558e+02           1985.5829         190520         0.2110         Yes
5                 4.1161e+02           2111.6150         300000         0.3310          No
6                 4.8984e+02           2189.8427         300000         0.3290          No
7                 4.3494e+02           2134.9421         300000         0.3240          No
8                 4.9315e+02           2193.1549         300000         0.3320          No
9                 5.7521e+02           2275.2092         300000         0.3290          No
10                3.4320e+02           2043.1964         300000         0.3480          No
11                5.5580e+02           2255.8026         300000         0.3310          No
12                4.1334e+02           2113.3385         300000         0.3260          No
13                1.5593e+02           1855.9299         121360         0.1340         Yes
14                4.9234e+02           2192.3449         300000         0.3270          No
15                2.9958e+02           1999.5792         149360         0.1650         Yes
16                6.8271e+02           2382.7086         300000         0.3360          No
17                6.3008e+02           2330.0829         300000         0.3320          No
18                5.8316e+02           2283.1597         300000         0.3330          No
19                4.0771e+02           2107.7110         300000         0.3240          No
20                4.3012e+02           2130.1228         300000         0.3310          No
21                2.5159e+02           1951.5930          95920         0.1060         Yes
22                5.1399e+02           2213.9935         300000         0.3290          No
23                3.7873e+02           2078.7318         300000         0.3320          No
24                7.3502e+02           2435.0239         300000         0.3360          No
25                6.6578e+02           2365.7848         300000         0.3170          No
26                2.3943e+02           1939.4343         153240         0.1680         Yes
27                1.3919e+02           1839.1868         184800         0.2030         Yes
28                5.8669e+02           2286.6896         300000         0.3320          No
29                4.4881e+02           2148.8119         300000         0.3300          No
30                2.5917e+02           1959.1697         100200         0.1090         Yes
31                5.2133e+02           2221.3269         300000         0.3290          No
32                5.7457e+02           2274.5715         300000         0.3360          No
33                2.7441e+02           1974.4130         144840         0.1600         Yes
34                3.1511e+02           2015.1137         179840         0.1960         Yes
35                4.0118e+02           2101.1797         300000         0.3400          No
36                4.4005e+02           2140.0517         300000         0.3330          No
37                5.7078e+02           2270.7839         300000         0.3340          No
38                4.2893e+02           2128.9346         300000         0.3360          No
39                2.3106e+02           1931.0585         130640         0.1450         Yes
40                3.3451e+02           2034.5082         172720         0.1900         Yes
41                2.3061e+02           1930.6093         140400         0.1540         Yes
42                5.1601e+02           2216.0112         300000         0.3310          No
43                2.7627e+02           1976.2738         135680         0.1510         Yes
44                5.2155e+02           2221.5549         300000         0.3280          No
45                2.7933e+02           1979.3269         138800         0.1540         Yes
46                3.3606e+02           2036.0600         178720         0.1960         Yes
47                1.5444e+02           1854.4428         164720         0.1820         Yes
48                6.1704e+02           2317.0421         300000         0.3350          No
49                1.9599e+02           1895.9925         214040         0.2400         Yes
50                4.0316e+02           2103.1552         300000         0.3280          No
51                2.3596e+02           1935.9569         120040         0.1330         Yes
----------------------------------------------------------------------------------------------------
