
========================================================================================================================
F11 - HCLPSO-OC (D=30)
========================================================================================================================

Run                  Error           Fitness           CFEs     CTs (s)   Converged
-------------------------------------------------------------------------------------
1             1.418612e+02       1241.861217         124040      0.0710         Yes
2               1.2559e+02         1225.5907         149120      0.0810         Yes
3               1.1274e+02         1212.7369         106840      0.0610         Yes
4               1.4057e+02         1240.5697         116560      0.0630         Yes
5               2.6600e+02         1366.0029         300000      0.1660          No
6               1.5507e+02         1255.0734         116000      0.0620         Yes
7               2.7299e+02         1372.9882         300000      0.1790          No
8               1.2924e+02         1229.2416         100000      0.0620         Yes
9               1.5127e+02         1251.2703         121440      0.0700         Yes
10              3.0471e+02         1404.7128         300000      0.1690          No
11              1.9524e+02         1295.2403         158960      0.0860         Yes
12              1.1863e+02         1218.6331          88480      0.0500         Yes
13              1.9349e+02         1293.4938         167280      0.0930         Yes
14              1.3683e+02         1236.8265         108080      0.0750         Yes
15              1.6035e+02         1260.3542         102280      0.0550         Yes
16              1.4618e+02         1246.1784         152480      0.0810         Yes
17              1.0542e+02         1205.4182         104880      0.0560         Yes
18              2.7430e+02         1374.2998         300000      0.1660          No
19              1.5080e+02         1250.7977          91240      0.0490         Yes
20              1.5211e+02         1252.1066         130000      0.0690         Yes
21              1.5722e+02         1257.2156         166440      0.0890         Yes
22              1.2857e+02         1228.5741          88360      0.0470         Yes
23              1.8544e+02         1285.4403         130680      0.0700         Yes
24              1.5345e+02         1253.4549          99240      0.0530         Yes
25              1.8098e+02         1280.9777         148280      0.0780         Yes
26              2.5494e+02         1354.9385         300000      0.1660          No
27              1.7414e+02         1274.1417         105560      0.0560         Yes
28              8.4114e+01         1184.1138         113040      0.0610         Yes
29              1.4057e+02         1240.5703         133440      0.0710         Yes
30              2.5588e+02         1355.8815         300000      0.1660          No
31              1.8548e+02         1285.4795         145240      0.0770         Yes
32              8.8554e+01         1188.5544         116480      0.0620         Yes
33              6.8635e+01         1168.6345         121520      0.0650         Yes
34              3.5900e+01         1135.9001         155440      0.0830         Yes
35              9.5631e+01         1195.6309         129440      0.0690         Yes
36              1.3627e+02         1236.2674         113560      0.0610         Yes
37              1.3978e+02         1239.7805         119160      0.0640         Yes
38              1.2163e+02         1221.6300          95040      0.0510         Yes
39              1.0392e+02         1203.9223          95880      0.0510         Yes
40              1.2565e+02         1225.6522         105160      0.0560         Yes
41              1.7614e+02         1276.1403         122320      0.0770         Yes
42              1.7592e+02         1275.9186         106160      0.0570         Yes
43              2.4125e+02         1341.2529         300000      0.1660          No
44              2.7640e+02         1376.4024         300000      0.1660          No
45              3.5623e+02         1456.2276         300000      0.1640          No
46              1.8058e+02         1280.5776         125560      0.0670         Yes
47              2.2509e+02         1325.0937         300000      0.1650          No
48              1.2179e+02         1221.7863         102440      0.0560         Yes
49              1.9689e+02         1296.8874         114280      0.0660         Yes
50              1.3805e+02         1238.0515         118320      0.0660         Yes
51              1.7931e+02         1279.3133         136400      0.0780         Yes
-------------------------------------------------------------------------------------
