
========================================================================================================================
F28 - HCLPSO-OC (D=30)
========================================================================================================================

Run                  Error           Fitness           CFEs     CTs (s)   Converged
-------------------------------------------------------------------------------------
1             5.771390e+02       3377.139034         300000      0.7750          No
2               3.7933e+03         6593.2517         300000      0.6910          No
3               1.8080e+03         4608.0204         300000      0.7860          No
4               2.8539e+03         5653.9403         300000      0.7430          No
5               1.8251e+03         4625.0507         300000      0.7390          No
6               3.5001e+03         6300.1148         300000      0.7110          No
7               5.9250e+02         3392.4989         300000      0.7770          No
8               6.0313e+02         3403.1311         300000      0.7900          No
9               6.3588e+02         3435.8824         300000      0.7630          No
10              6.0230e+02         3402.2998         300000      0.8100          No
11              7.1236e+02         3512.3638         300000      0.7450          No
12              4.9947e+02         3299.4668          66160      0.1830         Yes
13              6.7123e+02         3471.2270         300000      0.7880          No
14              3.9207e+03         6720.7437         300000      0.7370          No
15              5.1222e+02         3312.2202          61440      0.1700         Yes
16              7.2199e+02         3521.9898         300000      0.7530          No
17              6.2518e+02         3425.1841         300000      0.7750          No
18              5.9338e+02         3393.3843         300000      0.7580          No
19              7.4595e+02         3545.9487         300000      0.7390          No
20              3.6389e+03         6438.9126         300000      0.6910          No
21              5.5514e+02         3355.1433          95440      0.2640         Yes
22              5.9577e+02         3395.7679         300000      0.7980          No
23              3.9202e+03         6720.2418         300000      0.6810          No
24              4.7568e+02         3275.6811          64480      0.1780         Yes
25              6.4815e+02         3448.1530         300000      0.7610          No
26              8.7487e+02         3674.8725         300000      0.7610          No
27              6.3718e+02         3437.1762         300000      0.7860          No
28              5.2906e+02         3329.0567          73200      0.2020         Yes
29              4.9895e+02         3298.9526          53280      0.1480         Yes
30              6.5488e+02         3454.8821         300000      0.7850          No
31              6.3010e+02         3430.1047         300000      0.7610          No
32              5.5514e+02         3355.1433          79800      0.2200         Yes
33              4.7368e+02         3273.6788          70400      0.1950         Yes
34              4.5646e+02         3256.4636          82840      0.2280         Yes
35              5.5349e+02         3353.4899         131120      0.3560         Yes
36              2.2663e+03         5066.2855         300000      0.7070          No
37              5.0417e+02         3304.1698          92680      0.2560         Yes
38              6.7539e+02         3475.3909         300000      0.7510          No
39              5.3702e+02         3337.0245          92400      0.2560         Yes
40              5.4896e+02         3348.9628         248720      0.6540         Yes
41              5.9143e+02         3391.4300         300000      0.7960          No
42              6.5684e+02         3456.8375         300000      0.7800          No
43              6.5796e+02         3457.9565         300000      0.7880          No
44              6.4653e+02         3446.5341         300000      0.7630          No
45              6.1088e+02         3410.8848         300000      0.7850          No
46              6.9663e+02         3496.6326         300000      0.7880          No
47              5.5978e+02         3359.7783         261160      0.6990         Yes
48              5.2904e+02         3329.0384         109800      0.3030         Yes
49              5.5518e+02         3355.1811         218040      0.5830         Yes
50              6.4122e+02         3441.2228         300000      0.7940          No
51              5.6882e+02         3368.8166         300000      0.7700          No
-------------------------------------------------------------------------------------
