Function F24 - HCLPSO-DC (D=30)
----------------------------------------------------------------------------------------------------
Run                    Error             Fitness           CFEs        CTs (s)   Converged
----------------------------------------------------------------------------------------------------
1               6.159845e+02         3015.984524         300000         0.6520          No
2                 6.3080e+02           3030.7983         300000         0.6500          No
3                 5.5961e+02           2959.6134         300000         0.6470          No
4                 6.1160e+02           3011.6049         300000         0.6350          No
5                 6.2315e+02           3023.1495         300000         0.6360          No
6                 5.8871e+02           2988.7051         300000         0.6480          No
7                 6.0856e+02           3008.5591         300000         0.6510          No
8                 5.9992e+02           2999.9171         300000         0.6500          No
9                 5.8833e+02           2988.3299         300000         0.6370          No
10                6.6537e+02           3065.3671         300000         0.6330          No
11                6.1174e+02           3011.7372         300000         0.6510          No
12                5.8720e+02           2987.2033         300000         0.6240          No
13                5.8583e+02           2985.8295         300000         0.6430          No
14                6.4822e+02           3048.2165         300000         0.6360          No
15                5.5058e+02           2950.5814         300000         0.6340          No
16                5.7353e+02           2973.5330         300000         0.6430          No
17                5.9560e+02           2995.5967         300000         0.6460          No
18                5.8478e+02           2984.7778         300000         0.6480          No
19                5.5896e+02           2958.9606         300000         0.6300          No
20                6.4184e+02           3041.8420         300000         0.6390          No
21                6.7373e+02           3073.7343         300000         0.6390          No
22                7.0648e+02           3106.4795         300000         0.5990          No
23                5.9231e+02           2992.3148         300000         0.6530          No
24                5.8528e+02           2985.2849         300000         0.6520          No
25                5.4976e+02           2949.7636         300000         0.6490          No
26                6.1082e+02           3010.8202         300000         0.6420          No
27                5.8180e+02           2981.8014         300000         0.6440          No
28                6.2175e+02           3021.7506         300000         0.6480          No
29                6.0630e+02           3006.2991         300000         0.6480          No
30                5.7917e+02           2979.1726         300000         0.6500          No
31                6.0110e+02           3001.0972         300000         0.6470          No
32                5.9324e+02           2993.2369         300000         0.6550          No
33                5.6616e+02           2966.1555         300000         0.6300          No
34                6.3582e+02           3035.8223         300000         0.6430          No
35                5.9903e+02           2999.0268         300000         0.6570          No
36                6.1937e+02           3019.3721         300000         0.6440          No
37                6.1635e+02           3016.3503         300000         0.6440          No
38                6.5692e+02           3056.9209         300000         0.6490          No
39                6.3825e+02           3038.2453         300000         0.6360          No
40                5.7453e+02           2974.5324         300000         0.6640          No
41                6.2974e+02           3029.7369         300000         0.6350          No
42                6.2247e+02           3022.4723         300000         0.6570          No
43                5.6009e+02           2960.0928         300000         0.6490          No
44                6.0660e+02           3006.6002         300000         0.6540          No
45                5.5261e+02           2952.6149         300000         0.6600          No
46                5.6794e+02           2967.9373         300000         0.6470          No
47                5.4612e+02           2946.1222         300000         0.6590          No
48                6.4067e+02           3040.6710         300000         0.6380          No
49                6.3124e+02           3031.2367         300000         0.6460          No
50                6.4597e+02           3045.9746         300000         0.6490          No
51                5.7991e+02           2979.9076         300000         0.6540          No
----------------------------------------------------------------------------------------------------
